node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
127,10 排序,2,将一个数据元素的任意序列重新排列成按关键字有序序列的过程,排序稳定性 | 时间复杂度 | 空间复杂度 | 内部排序 | 外部排序,排序 | 稳定性 | 关键字 | 趟,[],混淆稳定与不稳定排序的概念 | 未区分内部排序与外部排序的适用场景,不涉及具体排序算法的实现细节,需掌握线性表和树等基本数据结构
128,10.1 概述,3,排序是将任意序列的关键字按递增或递减顺序重新排列的过程,排序关键字 | 稳定性定义 | 排序分类 | 性能指标,排序 | 稳定排序 | 不稳定排序 | 内部排序 | 外部排序,[],将排序稳定性与时间复杂度混为一谈 | 忽略排序过程中数据移动的代价,不讨论外部存储设备的排序策略,需理解关键字比较和数据移动的基本概念
129,10.2 插入排序,3,将待排序元素逐个插入到已排序序列的适当位置从而完成排序,基本思想 | 插入过程 | 稳定性 | 适用于小规模数据,直接插入排序 | 折半插入排序 | 希尔排序 | 稳定排序,最坏情况时间复杂度为O(n²) | 空间复杂度为O(1),认为插入排序只有一种实现方式 | 忽略插入排序的稳定性特点,不讨论大规模数据下的高效排序方法,需掌握线性表的顺序存储与链式存储
130,10.2.1 直接插入排序,4,将每个待排序元素按其关键字大小插入到已排序子序列的正确位置,第i趟将Ri插入正确位置 | 比较和移动次数 | 从后向前逐个比较 | 稳定排序,直接插入排序 | 已排序子序列 | 插入位置 | 监视哨,比较次数: n(n-1)/2(最坏) | 移动次数: n(n-1)/2(最坏),将监视哨的作用仅理解为节省空间 | 未正确计算最坏情况下的比较和移动次数,不讨论折半插入等改进策略,需理解顺序表的基本操作
131,10.2.2 其他插入排序,4,在直接插入排序基础上通过折半查找等方式减少比较次数的改进算法,折半插入排序 | 2-路插入排序 | 表插入排序 | 比较次数减少 | 移动次数不变,折半插入排序 | 2-路插入排序 | 表插入排序,比较次数降至O(n log n)但移动次数仍为O(n²),认为折半插入排序改变了移动次数 | 混淆表插入排序与链表插入排序,不讨论希尔排序的分组策略,需掌握折半查找的基本原理
132,10.2.3 希尔排序,4,先将序列分组排序再逐步缩小增量直至整个序列基本有序,增量序列选择 | 分组排序 | 最后进行一次直接插入排序 | 时间复杂度依赖增量,希尔排序 | 增量序列 | 分组排序 | 不稳定排序,平均时间复杂度约O(n^1.3) | 不是稳定的排序算法,错误认为希尔排序是稳定的 | 增量序列选择不影响排序性能,不适用于小规模数据的排序,需掌握直接插入排序和增量序列的概念
133,10.3 快速排序,3,选取基准元素将序列划分为两部分并递归排序,一趟划分 | 基准元素选择 | 递归实现 | 不稳定排序 | 平均性能最优,快速排序 | 基准元素 | 划分 | 不稳定排序,平均时间复杂度O(n log n) | 最坏情况时间复杂度O(n²) | 空间复杂度O(log n),最坏情况下退化为冒泡排序 | 未正确选择基准元素导致划分不均匀,不适用于已基本有序的序列,需掌握递归和分治策略
134,10.4 选择排序,3,每次从未排序序列中选出关键字最小的元素放入已排序序列末尾,简单选择排序 | 树形选择排序 | 堆排序 | 交换次数少,简单选择排序 | 树形选择排序 | 堆排序 | 不稳定排序,比较次数固定为n(n-1)/2 | 交换次数最多n-1次,将选择排序与交换排序混淆 | 忽略堆排序作为选择排序的改进形式,不讨论外部排序中的选择策略,需理解完全二叉树的性质
135,10.4.1 简单选择排序,4,通过n-1次关键字比较从无序序列中选出最小元素并交换到正确位置,第i趟从第i个位置开始找最小 | 比较次数固定 | 与初始排列无关 | 不稳定排序,简单选择排序 | 比较次数 | 交换次数,比较次数: n(n-1)/2 | 交换次数: ≤n-1,认为简单选择排序比直接插入排序效率高 | 忽略其不稳定性的特点,不考虑如何减少比较次数的方法,需掌握线性表的基本操作
136,10.4.2 树形选择排序,4,利用完全二叉树结构进行锦标赛式选择以减少比较次数,两两比较选出胜者 | 胜者树 | 重建树的过程 | 比较次数减少,树形选择排序 | 胜者树 | 完全二叉树,比较次数: n log n | 需额外存储空间,误以为树形选择排序是稳定的 | 将树形选择排序与堆排序混淆,不适用于链式存储的序列,需理解完全二叉树和锦标赛选择过程
