node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
646,6.5 电子邮件,3,电子邮件是互联网最早的应用之一，提供异步消息传递服务,用户代理 | 邮件服务器 | SMTP | POP3 | IMAP,电子邮件 | SMTP | POP3 | IMAP,[],电子邮件是实时通信,电子邮件不支持多媒体,已掌握应用层基础
647,6.5.1 电子邮件概述,4,电子邮件系统由用户代理、邮件服务器和邮件协议组成,用户代理 | 邮件服务器 | 邮件格式,电子邮件 | 邮件系统 | 邮件格式,[],用户代理等同于邮件服务器,邮件服务器必须同时在线,已理解电子邮件概念
648,6.5.2 简单邮件传送协议SMTP,4,SMTP是电子邮件发送协议，使用TCP连接传输邮件,SMTP协议 | 邮件发送 | 端口25,SMTP | 简单邮件传送协议 | 邮件发送,[],SMTP用于接收邮件,SMTP支持二进制数据,已掌握电子邮件概述
649,6.5.3 电子邮件的信息格式,4,电子邮件由信封和内容两部分组成，内容包括首部和主体,邮件头 | 邮件体 | MIME编码,邮件格式 | MIME | 邮件头 | 邮件体,[],邮件地址区分大小写,不涉及6.5.3 电子邮件的信息格式的具体实现细节和扩展应用,已理解SMTP协议
650,6.5.4 邮件读取协议POP3和IMAP,4,POP3和IMAP用于从邮件服务器读取邮件，POP3下载后删除服务器副本,POP3协议 | IMAP协议 | 邮件下载,POP3 | IMAP | 邮件读取,[],POP3和IMAP功能完全相同,POP3支持在线操作,已掌握邮件格式
651,6.5.5 基于万维网的电子邮件,4,用户通过浏览器访问Web邮件服务收发电子邮件,Web界面 | HTTP访问 | 邮件管理,Web邮件 | 浏览器 | 邮件访问,[],Web邮件不使用SMTP,Web邮件无存储限制,已理解POP3和IMAP
652,6.5.6 通用互联网邮件扩充MIME,4,MIME扩展了电子邮件支持的数据类型，允许传输非ASCII内容,MIME标准 | 非文本编码 | 邮件扩展,MIME | 多用途网际邮件扩充 | 编码,[],MIME替代了SMTP,MIME只用于电子邮件,已掌握邮件读取协议
653,6.6 动态主机配置协议DHCP,3,DHCP允许主机自动获取IP地址等网络配置参数,IP地址分配 | 自动配置 | UDP,DHCP | 动态主机配置 | IP分配,[],DHCP分配永久IP地址,DHCP用于域名解析,已掌握应用层基础
654,6.7 简单网络管理协议SNMP,3,SNMP用于网络设备的管理和监控，采用轮询机制,网络管理 | SNMP协议 | 管理信息库,SNMP | 网络管理 | 管理站,[],SNMP主动推送告警,SNMP可配置设备参数,已了解网络管理概念
655,6.7.1 网络管理的基本概念,4,网络管理包括配置管理、故障管理、性能管理、计费管理和安全管理,网络管理概念 | 管理站 | 代理,网络管理 | 管理站 | 代理,[],网络管理仅监控流量,不涉及6.7.1 网络管理的基本概念的具体实现细节和扩展应用,已掌握SNMP概述
656,6.7.2 管理信息结构SMI,4,SMI定义了管理对象的命名规则和数据类型,SMI标准 | ASN.1 | MIB定义,SMI | 管理信息结构 | ASN.1,[],SMI等同于MIB,SMI定义具体管理对象,已理解网络管理概念
657,6.7.3 管理信息库MIB,4,MIB是被管理对象的集合，存储在网络设备中供SNMP查询,MIB树 | 对象标识符 | 被管理对象,MIB | 管理信息库 | 对象标识,[],MIB包含所有网络信息,不涉及6.7.3 管理信息库MIB的具体实现细节和扩展应用,已掌握SMI结构
658,6.7.4 SNMP的协议数据单元和报文,4,SNMP使用UDP传输，定义了Get、Set和Trap等操作,SNMP报文格式 | PDU类型 | 传输,SNMP报文 | PDU | 团体名,[],SNMP使用TCP传输,SNMP报文无认证机制,已理解MIB概念
659,6.8 应用进程跨越网络的通信,3,应用进程通过系统调用使用运输层服务进行网络通信,套接字API | 系统调用 | 网络编程,套接字 | 系统调用 | 应用编程接口,[],系统调用等同于库函数,不涉及6.8 应用进程跨越网络的通信的具体实现细节和扩展应用,已掌握运输层基础
660,6.8.1 系统调用和应用编程接口,4,系统调用是操作系统提供给应用程序的接口，API封装了网络功能,socket函数 | bind函数 | listen函数,系统调用 | socket | bind | listen,[],API是系统调用的别名,套接字API仅限Unix,已理解应用进程通信
661,6.8.2 几种常用的系统调用,4,常用网络系统调用包括socket、bind、listen、accept、connect等,连接建立 | 数据传输 | 连接关闭,connect | accept | send | recv,[],所有系统调用都阻塞,系统调用无需错误处理,已掌握API概念
662,6.9 P2P应用,3,P2P是去中心化的对等网络应用模式，节点既是客户又是服务器,P2P架构 | 对等方 | 文件分发,P2P | 对等网络 | 文件共享,[],P2P需要中央服务器,不涉及6.9 P2P应用的具体实现细节和扩展应用,已掌握应用层基础
663,6.9.1 具有集中目录服务器的P2P工作方式,4,早期P2P使用集中目录服务器索引文件位置,集中目录服务器 | 文件索引 | 对等方注册,Napster | 集中目录 | P2P,[],目录服务器存储文件,目录服务器无单点故障,已理解P2P基本概念
