node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
499,1.1 计算机网络在信息时代中的作用,3,计算机网络是信息社会的基础设施，实现全球范围内资源共享和信息传递，支撑互联网+、大数据、云计算等应用,互联网改变生活方式 | 信息高速公路 | 数字化生存 | 网络改变工作模式 | 信息资源共享,互联网 | 信息高速公路 | 数字化,[],混淆计算机网络与互联网的概念 | 误认为计算机网络仅用于通信,不涉及具体网络协议实现细节,需了解计算机基本操作和信息系统概念
500,1.2 互联网概述,3,互联网是由全球大量计算机网络互连而成的覆盖全球的网络集合，其核心是TCP/IP协议族,全球互连的网络 | 使用TCP/IP协议 | 开放的网络架构 | 由边缘部分和核心部分组成,互联网 | ISP | TCP/IP,[],将互联网等同于万维网(WWW) | 忽略互联网的网络本质,不讨论互联网的具体应用层协议,需掌握计算机网络基本概念
501,1.2.1 网络的网络,互联网(Internet)是由许多计算机网络通过路由器等设备互连形成的'网络的网络',网络互连 | 路由器互联 | 网络的网络 | 层次化结构,互联网 | 互连网 | 路由器,[],混淆互联网(Internet)和互连网(internet) | 误认为互联网是一个单一网络,不涉及路由器内部协议,需理解网络互联基本概念,
502,1.2.2 互联网基础结构发展的三个阶段,互联网发展经历三个阶段：第一阶段ARPANET→第二阶段三级结构→第三阶段多层次ISP结构,ARPANET诞生 | 三级结构(主干网/地区网/校园网) | 多层次ISP结构 | IXPNAP,ARPANET | NSFNET | ISP | NAP | IXP,[],误认为互联网一开始就有多层ISP结构 | 混淆三个发展阶段的时间顺序,不涉及各阶段具体技术细节,需了解互联网发展历史背景,
503,1.2.3 互联网的标准化工作,互联网标准由IAB下设的IETF和IRTF制定，通过RFC文档发布，标准制定经历提案标准→草案标准→互联网标准三个阶段,IAB | IETF | IRTF | RFC文档 | 标准制定流程,IAB | IETF | IRTF | RFC | STD,[],认为所有RFC都是标准 | 混淆IETF与IRTF职责,不涉及具体标准制定的技术内容,需了解互联网组织结构,
504,1.3 互联网的组成,互联网从工作方式分为边缘部分(端系统)和核心部分(路由器网络)，边缘部分由用户直接使用，核心部分提供连通性和交换服务,边缘部分 | 核心部分 | 端系统 | 路由器网络 | 客户-服务器方式,端系统 | 边缘部分 | 核心部分,[],混淆边缘部分与核心部分的功能 | 误认为用户直接使用核心部分,不涉及具体网络设备实现,不涉及具体网络协议的实现细节；不涉及网络硬件设备,
505,1.3.1 互联网的边缘部分,边缘部分由所有连接在互联网上的主机(端系统)组成，用户通过它进行通信和资源共享，通信方式包括客户-服务器(C/S)和对等(P2P)方式,端系统 | 客户-服务器方式 | 对等方式P2P | 通信是目的,端系统 | 客户-服务器 | P2P,[],将边缘部分等同于个人计算机 | 混淆C/S与P2P的区别,不涉及端系统内部协议栈,需理解互联网整体架构,
506,1.3.2 互联网的核心部分,核心部分由大量网络和路由器组成，负责为边缘部分提供连通性和数据转发服务，通过分组交换实现高效数据传输,路由器 | 分组交换 | 数据转发 | 网络互连,路由器 | 分组交换 | 存储转发,[],误认为核心部分包含用户主机 | 混淆电路交换与分组交换,不讨论路由器路由算法细节,不涉及路由器的具体工作原理；不涉及路由选择算法,
507,1.7 计算机网络在我国的发展,我国计算机网络发展经历了起步、快速发展和成熟三个阶段，主要骨干网包括中国电信、中国联通、中国移动等,中国科技网 | 中国教育网 | 三大运营商骨干网 | 网络规模世界前列,CERNET | CHINANET | 骨干网,[],混淆三大运营商的骨干网名称 | 误认为我国互联网起步很早,不涉及具体网络建设技术,需了解我国信息化发展背景,
508,1.5 计算机网络的类别,计算机网络可按不同标准分类：按覆盖范围分为局域网LAN、城域网MAN、广域网WAN；按拓扑结构分为总线型、星型、环型、网状型等,局域网 | 城域网 | 广域网 | 拓扑结构 | 按作用范围分类,LAN | MAN | WAN | 拓扑,[],混淆不同分类标准的网络类型 | 误认为WAN覆盖范围小于MAN,不讨论具体网络协议实现,不涉及网络协议的具体实现；不涉及网络性能指标的计算,
509,1.5.1 计算机网络的定义,计算机网络是将地理位置不同的、具有独立功能的多台计算机及其外部设备通过通信线路和通信设备连接起来，在网络操作系统、网络管理软件及网络通信协议的管理和协调下实现资源共享和信息传递的计算机系统,独立功能的计算机 | 通信线路连接 | 网络协议管理 | 资源共享,计算机网络 | 资源共享 | 通信协议,[],误认为联网计算机不需独立功能 | 忽略网络协议的必要性,不涉及具体网络协议细节,需了解计算机和网络基本概念,
510,1.5.2 几种不同类别的计算机网络,按覆盖范围分类：PAN(个人区域网)<LAN(局域网)<MAN(城域网)<WAN(广域网)<Internet；按使用者分为公用网和专用网,PAN | LAN | MAN | WAN | 公用网与专用网,PAN | LAN | MAN | WAN,[],混淆PAN与LAN的范围 | 误认为公用网比专用网安全,不讨论各网络类型的具体实现,不涉及各类网络的具体协议；不涉及网络设备的选型,
511,1.6 计算机网络的性能,计算机网络性能用性能指标和非性能特征两方面衡量，性能指标包括速率、带宽、吞吐量、时延、利用率等,速率 | 带宽 | 吞吐量 | 时延 | 利用率,速率 | 带宽 | 时延 | 利用率,[],混淆带宽与吞吐量 | 误认为时延仅包含传输时延,不涉及具体网络设备性能参数,不涉及具体协议的性能分析；不涉及网络优化方法,
512,1.6.1 计算机网络的性能指标,性能指标包括：速率(数据率/比特率)、带宽(网络通信线路传送数据的能力)、吞吐量(单位时间通过某网络的数据量)、时延(发送时延+传播时延+处理时延+排队时延)、时延带宽积、往返时间RTT、利用率,速率 | 带宽 | 吞吐量 | 四种时延 | 利用率,速率 | 带宽 | 时延 | RTT | 利用率,发送时延=数据帧长度(b)/发送速率(b/s) | 传播时延=信道长度(m)/信号传播速率(m/s) | 总时延=发送时延+传播时延+处理时延+排队时延,混淆发送时延和传播时延的计算 | 忘记处理时延和排队时延 | 单位换算错误(bit与Byte),不涉及具体网络层协议的时延分析,需理解数据通信基本原理,
513,1.6.2 计算机网络的非性能特征,非性能特征包括：费用、质量、标准化、可靠性、可扩展性和可管理性等，这些特征虽不直接量化但影响网络设计,费用 | 质量 | 标准化 | 可靠性 | 可扩展性,费用 | 质量 | 可靠性,[],将非性能特征与性能指标混淆 | 忽略标准化的重要性,不涉及具体性能指标的计算,不涉及1.6.2 计算机网络的非性能特征的具体实现细节和扩展应用,
514,1.7 计算机网络体系结构,网络体系结构是计算机网络各层次及其协议的集合，是网络及其部件所应完成功能的精确定义，采用分层结构实现复杂系统的模块化设计,分层体系结构 | 协议 | 层次划分 | OSI参考模型 | TCP/IP模型,体系结构 | 分层 | 协议,[],混淆OSI七层模型与TCP/IP四层模型 | 误认为分层越细越好,不涉及具体层次协议实现,不涉及1.7 计算机网络体系结构的具体实现细节和扩展应用,
515,1.7.1 计算机网络体系结构的形成,网络体系结构从OSI七层模型发展到TCP/IP四层模型，OSI模型理论完整但实现复杂，TCP/IP模型实用性强成为事实标准,OSI参考模型 | TCP/IP模型 | 七层到四层 | 理论与实践,OSI | TCP/IP | 七层模型,[],认为OSI模型已被完全淘汰 | 误认为TCP/IP是唯一模型,不涉及各层具体协议,不涉及1.7.1 计算机网络体系结构的形成的具体实现细节和扩展应用,
516,1.7.2 协议与划分层次,协议是控制两个对等实体进行通信的规则集合，包括语法(格式)、语义(含义)、同步(时序)三个要素，分层将复杂问题简化,协议三要素 | 语法 | 语义 | 同步(时序) | 层次划分,协议 | 语法 | 语义 | 同步,[],混淆协议三要素 | 误认为层次划分可随意,不涉及具体协议实现,需理解网络体系结构概念,
517,1.7.3 具有五层协议的体系结构,五层协议体系结构综合OSI和TCP/IP优点：物理层、数据链路层、网络层、传输层、应用层，每层实现特定功能,物理层 | 数据链路层 | 网络层 | 传输层 | 应用层,物理层 | 数据链路层 | 网络层 | 传输层 | 应用层,[],混淆各层功能 | 误认为每层必须独立实现,不涉及各层具体协议细节,不涉及1.7.3 具有五层协议的体系结构的具体实现细节和扩展应用,
518,1.7.4 实体、协议、服务和服务访问点,实体是任何可发送或接收信息的硬件或软件进程，协议是控制对等实体通信的规则，服务是下层为上层提供的功能，SAP是同一系统中相邻层交互的接口,实体 | 协议 | 服务 | 服务访问点SAP | 对等层通信,实体 | 协议 | 服务 | SAP,[],混淆协议与服务的概念 | 误认为SAP是物理接口,不涉及具体服务实现,不涉及1.7.4 实体、协议、服务和服务访问点的具体实现细节和扩展应用,
519,1.7.5 TCP/IP的体系结构,TCP/IP采用四层模型：网络接口层、网际层(IP)、传输层(TCP/UDP)、应用层，是互联网实际使用的体系结构,网络接口层 | 网际层 | 传输层 | 应用层 | IP | TCP | UDP,TCP/IP | IP | TCP | UDP,[],混淆TCP/IP四层与OSI七层对应关系 | 误认为TCP/IP只包含TCP,不涉及各层具体协议实现,不涉及1.7.5 TCP/IP的体系结构的具体实现细节和扩展应用,
520,2 物理层,物理层是OSI模型最低层，负责在物理媒体上透明传输比特流，解决数据终端设备与通信线路之间的接口问题,比特流传输 | 物理接口 | 传输媒体 | 信号编码,物理层 | 比特流 | 传输媒体,[],混淆物理层与数据链路层功能 | 误认为物理层涉及数据帧,不涉及数据链路层协议,不涉及2 物理层的具体实现细节和扩展应用,
521,2.1 物理层的基本概念,物理层主要解决如何在传输媒体上传输比特流的问题，提供机械、电气、功能和规程四大特性接口,机械特性 | 电气特性 | 功能特性 | 规程特性,机械特性 | 电气特性 | 功能特性 | 规程特性,[],混淆四大特性的含义 | 误认为物理层仅涉及硬件,不涉及具体传输标准实现,不涉及2.1 物理层的基本概念的具体实现细节和扩展应用,
522,2.2 数据通信的基础知识,数据通信系统由源系统、传输系统和目的系统组成，涉及信源、发送器、传输系统、接收器、信宿等基本概念,源系统 | 传输系统 | 目的系统 | 信源 | 信宿,数据通信系统 | 信源 | 信宿,[],混淆数据通信系统与计算机网络 | 忽略传输系统的重要性,不涉及具体通信协议,不涉及2.2 数据通信的基础知识的具体实现细节和扩展应用,
523,2.2.1 数据通信系统的模型,数据通信系统模型包括：信源→发送器→传输系统→接收器→信宿，其中信号可分为模拟信号和数字信号,信源 | 发送器 | 传输系统 | 接收器 | 信宿,数据通信模型 | 模拟信号 | 数字信号,[],混淆模拟信号与数字信号 | 误认为模型仅适用于数字通信,不涉及具体信号处理技术,需理解数据通信系统组成,
524,2.2.2 有关信道的几个基本概念,信道是向某方向传送信息的媒体，分为单工、半双工和全双工三种通信方式；基带传输与宽带传输是两种信号传输方式,单工通信 | 半双工通信 | 全双工通信 | 基带传输 | 宽带传输,单工 | 半双工 | 全双工 | 基带 | 宽带,[],混淆半双工与全双工 | 误认为基带传输比宽带传输快,不涉及具体传输编码技术,需理解数据通信基本概念,
525,2.2.3 信道的极限容量,信道极限容量由奈奎斯特定理(无噪声)和香农定理(有噪声)决定，是信道能无差错传输数据的最大速率,奈奎斯特定理 | 香农定理 | 信道容量 | 码元速率,奈奎斯特 | 香农 | 信道容量,奈奎斯特: C=2W×log2V(b/s) | 香农: C=W×log2(1+S/N)(b/s),混淆奈奎斯特和香农定理的适用条件 | 忘记带宽W的单位是Hz | 信噪比S/N单位换算错误,不涉及具体调制解调技术,需理解信道和带宽概念,
526,2.3 物理层下面的传输媒体,传输媒体分为导引型(双绞线、同轴电缆、光纤)和非导引型(无线传输：微波、红外线、激光等),双绞线 | 同轴电缆 | 光纤 | 无线传输 | 导引型与非导引型,双绞线 | 光纤 | 微波,[],混淆导引型与非导引型媒体 | 误认为光纤比双绞线便宜,不涉及具体传输介质的制造工艺,需理解物理层基本概念,
527,2.3.1 导引型传输媒体,导引型媒体包括：双绞线(UTP/STP)、同轴电缆(基带/宽带)、光纤(单模/多模)，各有不同传输特性和应用场景,双绞线 | 同轴电缆 | 光纤 | 单模光纤 | 多模光纤,UTP | STP | 单模 | 多模,[],混淆单模与多模光纤的应用 | 误认为同轴电缆已完全淘汰,不涉及光纤具体制造技术,需理解传输媒体基本分类,
528,2.3.2 非导引型传输媒体,非导引型媒体利用空间传播电磁波，包括微波通信、卫星通信、红外通信、蓝牙等无线技术,微波通信 | 卫星通信 | 红外通信 | 蓝牙 | 无线局域网,微波 | 卫星 | 红外,[],混淆微波通信与卫星通信 | 误认为红外通信传输距离远,不涉及无线通信具体协议,需理解无线传输基本原理,
529,2.4 信道复用技术,信道复用允许多个用户共享同一信道，提高信道利用率，主要技术包括FDM、TDM、STDM、WDM、CDM等,频分复用 | 时分复用 | 统计时分复用 | 波分复用 | 码分复用,复用 | FDM | TDM | WDM | CDM,[],混淆各种复用技术的区别 | 误认为TDM比FDM效率高,不涉及具体复用设备实现,需理解信道和带宽概念,
530,2.4.1 频分复用、时分复用和统计时分复用,频分复用(FDM)将频带分为多个子频带；时分复用(TDM)将时间分为时隙；统计时分复用(STDM)按需分配时隙，提高利用率,频分复用FDM | 时分复用TDM | 统计时分复用STDM | 时隙 | 频带,FDM | TDM | STDM,[],混淆TDM与STDM的区别 | 误认为FDM不存在串扰,不涉及具体复用器设计,需理解信道复用基本概念,
531,2.4.2 波分复用,波分复用(WDM)是在光纤上同时传输多个不同波长光信号的技术，密集波分复用(DWDM)可在一根光纤上复用上百个波长,波分复用WDM | 密集波分复用DWDM | 光复用器 | 光分用器,WDM | DWDM,[],混淆WDM与FDM的区别 | 误认为WDM仅用于光纤,不涉及光器件具体原理,需理解光纤通信基本概念,
532,2.4.3 码分复用,码分复用(CDM)每个站分配唯一的码片序列，利用码片的正交性实现多用户同时通信，码分多址(CDMA)是其应用,码分复用CDM | 码分多址CDMA | 码片序列 | 正交性,CDM | CDMA | 码片,[],混淆CDM与CDMA | 误认为码片序列可随意选择,不涉及具体扩频通信技术,需理解信号与编码基本概念,
