node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
225,4 不定积分,2,已知函数的导数求原函数的运算，是微分的逆运算,逆运算本质,原函数 | 不定积分,∫f(x)dx=F(x)+C,忘记加常数C,不涉及定积分的极限定义和具体计算方法,掌握导数与微分的基本概念和运算
226,4.1 不定积分的概念与性质,3,研究不定积分的定义、原函数存在条件及其基本性质,概念体系,原函数 | 不定积分,F(x)=∫f(x)dx ⟺ F′(x)=f(x),原函数与不定积分概念混淆,不涉及具体积分方法和技巧,理解导数定义及基本求导公式
227,原函数与不定积分的概念,4,若F′(x)=f(x)则称F(x)为f(x)的原函数，全体原函数称为不定积分,原函数存在性 | 全体原函数,原函数 | 不定积分,F′(x)=f(x),只求一个原函数而忘记加+C,不涉及原函数的存在性证明和具体求法,理解导数的定义和可导条件
228,基本积分表,4,常用函数的不定积分公式集合，是积分计算的基础工具,积分公式 | 公式对照,积分表 | 基本积分,∫xⁿdx=xⁿ⁺¹/(n+1)+C(n≠-1) | ∫eˣdx=eˣ+C | ∫(1/x)dx=ln|x|+C,背错幂函数积分公式,不包含复合函数和分式函数的积分公式,熟练掌握基本求导公式
229,不定积分的性质,4,不定积分具有线性性和与微分互逆运算的性质,线性性质 | 互逆性,线性运算 | 积分常数,∫[af(x)+bg(x)]dx=a∫f(x)dx+b∫g(x)dx,常数提取时符号出错,不涉及具体积分技巧和换元方法,理解不定积分的定义
230,4.2 换元积分法,3,通过变量代换将复合函数积分化为基本积分表可解的形式,换元思想 | 化繁为简,换元法 | 变量代换,∫f[g(x)]g′(x)dx=∫f(u)du,代换后忘记回代原变量,不涉及分部积分法和有理函数积分,掌握复合函数求导法则
231,第一类换元法,4,令u=g(x)凑微分消去被积函数中的内层复合部分,凑微分法 | 内层消去,u=g(x) | 凑微分,∫f[g(x)]g′(x)dx=∫f(u)du,凑微分时凑错常数因子,被积函数不含g′(x)因子时不可直接使用,熟练掌握复合函数微分法则
232,第二类换元法,4,令x=φ(t)引入新变量消去根号等复杂结构,三角代换 | 根式代换,x=φ(t) | 变量回代,∫f(x)dx=∫f[φ(t)]φ′(t)dt,三角代换后忘记换回x,不适用于不含根号或无理式的简单被积函数,掌握第一类换元法和三角恒等式
233,4.3 分部积分法,3,利用乘积求导法则推导的积分公式处理乘积型被积函数,分部公式 | u dv选取,分部积分 | ∫udv,∫udv=uv−∫vdu,u和dv选取不当导致更复杂,不适用于不含乘积结构的被积函数,熟练掌握乘积微分法则
234,4.4 有理函数的积分,3,有理分式函数通过部分分式分解求积分的方法,部分分式 | 多项式除法,有理函数 | 真分式,∫1/(x−a)ⁿdx=−1/[(n−1)(x−a)ⁿ⁻¹]+C,部分分式分解时漏项,不涉及无理函数的有理化,掌握因式分解和待定系数法
235,有理函数的积分,4,通过部分分式分解将真分式化为可直接积分的简单分式之和,部分分式分解 | 待定系数,真分式 | 假分式,∫1/(x−a)ⁿdx,分解系数求解出错,不处理分母不可约的高次实系数多项式,掌握因式分解和简单积分公式
236,可化为有理函数的积分,4,通过代换将三角函数等有理化后求积分,三角有理化 | 万能代换,t=tan(x/2) | 万能公式,"∫R(sin x,cos x)dx",万能代换后计算复杂,万能代换不总是最优选择,掌握有理函数积分和三角恒等式
237,4.5 积分表的使用,3,利用现成积分公式表查找复杂函数的不定积分,查表方法 | 公式匹配,积分表,查表得结果,公式编号记错导致结果错误,不替代基本积分方法的学习,掌握基本积分方法
238,5 定积分,2,通过极限定义的积分概念及其计算方法,极限定义 | 黎曼和,定积分 | 黎曼和,∫ₐᵇf(x)dx=lim Σf(ξᵢ)Δxᵢ,定积分与不定积分概念混淆,不讨论反常积分的敛散性问题,掌握极限概念和不定积分
239,5.1 定积分的概念与性质,3,定积分的几何意义、物理意义及其基本性质,几何意义 | 黎曼和,定积分 | 曲边梯形,∫ₐᵇf(x)dx表示曲边梯形面积,忽略f(x)正负时面积符号错误,不涉及定积分的具体计算方法,理解极限和面积概念
240,定积分问题举例,4,曲边梯形面积和变速直线运动路程等实际问题的数学建模,实际背景 | 建模,曲边梯形 | 变速运动,A=∫ₐᵇf(x)dx,将定积分与原函数求值混淆,不讨论抽象函数的定积分性质,理解极限和面积概念
241,定积分的定义,4,将区间分割后求黎曼和的极限，是定积分的严格数学定义,黎曼和 | 分割取点,分割 | 细度,∫ₐᵇf(x)dx=lim Σf(ξᵢ)Δxᵢ,分割方式不同但极限值相同,不涉及定积分的计算技巧,理解极限概念和函数有界性
242,定积分的近似计算,4,用矩形法、梯形法和辛普森法近似计算定积分的值,数值方法 | 近似,梯形法 | Simpson法,T=(b−a)/n·[f(a)+2Σf(xᵢ)+f(b)]/2,混淆不同近似方法的精度,不涉及定积分的精确求解,掌握定积分定义和基本函数值
243,定积分的性质,4,定积分具有线性性、区间可加性、保序性等基本性质,线性性 | 区间可加,保序性 | 中值性,∫ₐᵇf(x)dx=−∫ᵇₐf(x)dx,上下限交换时忘记变号,不涉及定积分的具体计算方法,掌握定积分定义
244,5.2 微积分基本公式,3,揭示定积分与不定积分的内在联系，是计算定积分的核心工具,N-L公式 | 积分上限函数,变上限积分,∫ₐᵇf(x)dx=F(b)−F(a),积分上限函数求导与直接积分混淆,不讨论被积函数不连续的情形,掌握定积分定义和原函数概念
245,变速直线运动中位置函数与速度函数之间的联系,4,通过定积分描述位移等于速度函数在时间区间上的积分,物理背景 | 位移,速度 | 位移,s(t)=∫ᵗ₀v(τ)dτ+s(t₀),忽略初始位置s(t₀),不讨论加速度和高阶导数的积分应用,理解定积分的几何意义
246,积分上限的函数及其导数,4,以积分上限为自变量的函数Φ(x)=∫ₐˣf(t)dt及其求导法则,变上限积分 | 求导,Φ(x) | 变上限函数,Φ′(x)=f(x),变上限函数复合时链式法则遗漏,不处理下限为变量或上下限均为函数的情形,掌握定积分定义和复合函数求导
247,牛顿-莱布尼茨公式,4,微积分基本定理核心公式，将定积分计算转化为求原函数值差,N-L公式 | 代入求值,原函数 | 代入,∫ₐᵇf(x)dx=F(b)−F(a),代入上下限时符号错误,不讨论被积函数有瑕点的反常积分,掌握原函数概念和定积分定义
248,5.3 定积分的换元法和分部积分法,3,定积分计算的两种重要方法，换元时需同步变换积分上下限,换元法 | 分部积分,换限 | 边界项,∫ₐᵇf[g(x)]g′(x)dx=∫g(a)^g(b)f(u)du,换元后未换积分限,不适用于反常积分的换元,掌握不定积分换元法和分部积分法
249,定积分的换元法,4,通过变量代换简化被积函数同时变换积分上下限,换元法 | 换限,变量代换 | 单调可导,∫ₐᵇf(x)dx=∫ᵅᵝf[φ(t)]φ′(t)dt,未正确换限导致结果错误,换元函数需单调可导且在区间上连续,掌握不定积分换元法和定积分性质
250,定积分的分部积分法,4,利用乘积求导法则推导的定积分分部积分公式,分部公式 | 边界项,∫udv | [uv],∫ₐᵇu dv=[uv]ₐᵇ−∫ₐᵇv du,忘记计算边界项[uv]ₐᵇ,不处理非乘积结构的被积函数,掌握不定积分分部积分法
251,5.4 反常积分,3,积分区间无限或被积函数无界的积分概念及其收敛性判断,反常积分 | 极限,无穷积分 | 瑕积分,∫ₐ^∞f(x)dx=lim(b→∞)∫ₐᵇf(x)dx,收敛性判断方法记混,不涉及普通定积分的计算,掌握定积分和极限概念
252,无穷限的反常积分,4,积分区间为无穷的反常积分定义及p-判别法收敛性判定,无穷限 | p-判别法,收敛 | 发散,∫₁^∞(1/xᵖ)dx收敛⟺p>1,p-判别法应用时p的临界值记错,不处理有限区间上的反常积分,掌握定积分和极限概念
253,无界函数的反常积分,4,被积函数在有限点无界时的反常积分（瑕积分）定义及判定,瑕点 | 取极限,瑕积分 | 无界函数,∫₀¹(1/√x)dx=2,瑕点识别错误或遗漏,不处理无穷限的反常积分,掌握定积分和极限概念
254,6 定积分的应用,2,利用定积分解决几何和物理实际问题的理论和方法,应用思想 | 微元法,微元法 | 元素法,dA=f(x)dx,微元选取不当导致结果错误,不讨论定积分的理论推导,掌握定积分计算方法
255,6.1 定积分的元素法,3,将实际问题转化为定积分的基本方法：分割、取微元、求和,微元法 | 元素法,微元 | 可加性,dA=f(x)dx,微元表达式写错,不涉及具体积分计算技巧,掌握定积分定义
