node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
691,8.1 概述,3,互联网音视频服务分为流式存储、实时交互和流式直播三类,流式存储 | 实时交互 | 直播 | 压缩编码 | 缓冲,8.1 概述,[],互联网音视频与传统广播相同,音视频服务不需要QoS,已理解互联网音视频概念
692,8.2 流式存储音频/视频,3,流式存储允许用户边下载边播放，无需完整下载,边下载边播放 | 元文件 | 媒体服务器 | RTSP | 缓冲,8.2 流式存储音频/视频,[],流式存储需完整下载,不涉及8.2 流式存储音频/视频的具体实现细节和扩展应用,已掌握音视频服务概述
693,8.2.1 具有元文件的万维网服务器,4,元文件描述媒体位置信息，浏览器通过元文件获取视频流,元文件 | URL | HTTP | 浏览器 | 重定向,8.2.1 具有元文件的万维网服务器,[],元文件是视频文件本身,元文件必须与视频同服务器,已理解流式存储概念
694,8.2.2 媒体服务器,4,媒体服务器专门提供音视频流媒体服务，支持断点续传,流媒体服务器 | RTSP | 缓冲 | 点播 | 直播,8.2.2 媒体服务器,[],媒体服务器与Web服务器相同,媒体服务器无需专用硬件,已掌握元文件原理
695,8.2.3 实时流式协议RTSP,4,RTSP是流媒体控制协议，提供播放、暂停、快进等操作,RTSP | 客户服务器 | 端口554 | 控制命令 | 会话管理,8.2.3 实时流式协议RTSP,[],RTSP传输音视频数据,RTSP是实时传输协议,已理解媒体服务器
696,8.3 交互式音频/视频,3,交互式音视频如IP电话和视频会议，需要实时双向通信,IP电话 | 视频会议 | RTP | RTCP | VoIP,8.3 交互式音频/视频,[],交互式音视频可容忍延迟,交互式音视频与流式存储相同,已掌握流式存储技术
697,8.3.1 IP电话概述,4,IP电话通过互联网传输语音，比传统电话成本更低,VoIP | 语音编码 | 延迟 | 抖动 | 丢包,8.3.1 IP电话概述,[],IP电话音质优于传统电话,不涉及8.3.1 IP电话概述的具体实现细节和扩展应用,已理解交互式音视频
698,8.3.2 IP电话所需要的几种应用协议,4,IP电话需要RTP、RTCP、SIP/H.323等协议协同工作,RTP | RTCP | SIP | H.323 | 信令,8.3.2 IP电话所需要的几种应用协议,[],IP电话仅需一种协议,不涉及8.3.2 IP电话所需要的几种应用协议的具体实现细节和扩展应用,已掌握IP电话概念
699,8.3.3 实时运输协议RTP,4,RTP为实时数据提供端到端传输服务，包含时间戳和序列号,RTP | 时间戳 | 序列号 | 负载类型 | SSRC,8.3.3 实时运输协议RTP,[],RTP提供可靠传输,不涉及8.3.3 实时运输协议RTP的具体实现细节和扩展应用,已理解IP电话协议
700,8.3.4 实时运输控制协议RTCP,4,RTCP监控RTP传输质量，提供反馈和统计信息,RTCP | 质量反馈 | 参与者统计 | 带宽控制 | SR/RR,8.3.4 实时运输控制协议RTCP,[],RTCP传输音视频数据,RTCP与RTP使用相同端口,已掌握RTP协议
