id,parent_id,subject_id,subject_name,name,level,difficulty,source,summary,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc,params_status,prerequisites,sort,icon,created_at
1,,1,数学分析,数学分析,1,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
2,1,1,数学分析,第一章 实数集与函数,2,1,manual,本章奠定数学分析的理论基础，核心是实数完备性（确界原理）与函数的基本概念。学习重点包括实数性质、区间与邻域、有界集的确界存在性，以及函数定义、复合与反函数、基本初等函数及奇偶性、周期性等特性。确界原理是后续极限理论的重要支柱，函数语言则是全书分析对象的基本载体。掌握本章可为极限、连续、微分等核心内容提供必要工具。,,,,,,,,,,0,,2026-09-05T11:42:23.002441
3,2,1,数学分析,1.1 实数,3,1,manual,本小节介绍实数的基本性质（有序性、稠密性、完备性）及绝对值定义与不等式性质。重点掌握绝对值三角不等式、实数大小比较及区间表示。考点常围绕绝对值不等式求解、利用实数性质证明简单命题。,,,,,,,,,,0,,2026-09-05T11:42:23.002441
4,3,1,数学分析,实数及其性质,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
5,3,1,数学分析,绝对值与不等式,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
6,2,1,数学分析,1.2 数集·确界原理,3,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
7,6,1,数学分析,区间与邻域,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
8,6,1,数学分析,有界集·确界原理,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
9,2,1,数学分析,1.3 函数概念,3,1,manual,,,,,,,,,,,2,,2026-09-05T11:42:23.002441
10,9,1,数学分析,函数的定义,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
11,9,1,数学分析,函数的表示法,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
12,9,1,数学分析,复合函数与反函数,4,1,manual,,,,,,,,,,,2,,2026-09-05T11:42:23.002441
13,9,1,数学分析,初等函数,4,1,manual,,,,,,,,,,,3,,2026-09-05T11:42:23.002441
14,2,1,数学分析,1.4 具有某些特性的函数,3,1,manual,,,,,,,,,,,3,,2026-09-05T11:42:23.002441
15,14,1,数学分析,有界函数,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
16,14,1,数学分析,单调函数,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
17,14,1,数学分析,奇函数与偶函数,4,1,manual,,,,,,,,,,,2,,2026-09-05T11:42:23.002441
18,14,1,数学分析,周期函数,4,1,manual,,,,,,,,,,,3,,2026-09-05T11:42:23.002441
19,1,1,数学分析,第二章 数列极限,2,1,manual,本章系统引入数列极限的严格ε-N定义，建立收敛数列的唯一性、有界性、保号性及四则运算等基本性质，并重点掌握单调有界定理与Cauchy收敛准则等存在性判定工具。作为数学分析的理论基石，极限思想贯穿全书，为后续函数极限、连续性与级数理论提供严格分析基础，是培养严谨数学思维的关键环节。,,,,,,,,,,1,,2026-09-05T11:42:23.002441
20,19,1,数学分析,2.1 数列极限概念,3,1,manual,数列极限的ε-N定义是核心，需理解“任意ε>0，存在N”的逻辑并会用定义证明极限。无穷小数列是极限为0的数列，其性质是后续基础。考点常为用定义验证极限及无穷小数列的判定与运算。,,,,,,,,,,0,,2026-09-05T11:42:23.002441
21,20,1,数学分析,数列极限的定义,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
22,20,1,数学分析,无穷小数列,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
23,19,1,数学分析,2.2 收敛数列的性质,3,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
24,23,1,数学分析,唯一性,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
25,23,1,数学分析,有界性,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
26,23,1,数学分析,保号性,4,1,manual,,,,,,,,,,,2,,2026-09-05T11:42:23.002441
27,23,1,数学分析,保不等式性,4,1,manual,,,,,,,,,,,3,,2026-09-05T11:42:23.002441
28,23,1,数学分析,迫敛性,4,1,manual,,,,,,,,,,,4,,2026-09-05T11:42:23.002441
29,23,1,数学分析,四则运算法则,4,1,manual,,,,,,,,,,,5,,2026-09-05T11:42:23.002441
30,19,1,数学分析,2.3 数列极限存在的条件,3,1,manual,,,,,,,,,,,2,,2026-09-05T11:42:23.002441
31,30,1,数学分析,单调有界定理,4,1,manual,,,,,,,,,,,0,,2026-09-05T11:42:23.002441
32,30,1,数学分析,柯西收敛准则,4,1,manual,,,,,,,,,,,1,,2026-09-05T11:42:23.002441
