node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
308,1 计算机系统概述,2,计算机系统概述是全书的纲领性章节，介绍计算机系统的基本组成、层次结构及主要技术指标，为后续各章学习奠定基础。,计算机系统组成 | 软硬件概念 | 层次结构 | 技术指标,计算机系统 | 软件 | 硬件 | 体系结构 | 组成,[],将计算机系统等同于硬件，忽略软件部分;混淆计算机组成与体系结构的概念,不涉及具体指令系统设计和操作系统实现细节,需具备数字逻辑电路的基础知识
309,1.1 计算机系统简介,3,介绍计算机系统的基本概念，包括软硬件的定义、计算机系统的层次结构以及计算机组成与体系结构的区别。,软件硬件定义 | 层次结构 | 组成与体系结构区别,软件 | 硬件 | 系统软件 | 应用软件 | 体系结构,[],认为硬件就是计算机的全部;不理解层次结构的意义,不讨论具体操作系统和编译器的内部实现,需了解计算机的基本用途
310,计算机的软硬件概念,4,计算机软件分为系统软件和应用软件两大类，系统软件包括操作系统、语言处理程序等，应用软件是为解决特定问题而编制的程序。,软件分类 | 系统软件 | 应用软件,系统软件 | 应用软件 | 操作系统 | 语言处理程序 | 程序,[],将所有软件都归为应用软件;忽略系统软件的核心作用,不讨论具体编程语言的语法细节,需了解程序的基本概念
311,计算机系统的层次结构,4,计算机系统可划分为多个层次，从底层硬件到顶层应用程序，每一层向上一层提供服务，同时依赖下一层的支持。,层次划分 | 各层功能 | 层次间关系,硬件 | 固件 | 操作系统 | 语言处理程序 | 应用程序,[],认为各层次之间没有依赖关系;忽略固件层的存在,不涉及每层内部的具体实现机制,需理解软硬件协同工作的概念
312,计算机组成和计算机体系结构,4,计算机体系结构是程序员所见到的计算机属性，计算机组成是体系结构的逻辑实现，二者既有联系又有区别。,体系结构定义 | 组成定义 | 二者的区别与联系,体系结构 | 组成 | 实现 | 指令系统 | 数据通路,[],混淆组成与体系结构的概念;认为二者完全等同,不讨论具体的指令集架构设计,需了解计算机系统的基本组成
313,1.2 计算机的基本组成,3,介绍冯·诺依曼计算机的基本组成和工作原理，包括硬件框图和计算机的工作步骤。,冯·诺依曼特点 | 硬件框图 | 工作步骤,冯·诺依曼 | 存储程序 | 控制器 | 运算器 | 存储器,[],忽略存储程序原理的重要性;不理解各部件的功能,不涉及现代计算机的改进结构,需掌握计算机系统概述的知识
314,冯·诺依曼计算机的特点,4,冯·诺依曼计算机以存储程序为核心思想，由运算器、控制器、存储器、输入设备和输出设备五大部件组成。,存储程序原理 | 五大部件 | 以运算器为中心,存储程序 | 运算器 | 控制器 | 存储器 | 输入输出设备,[],误认为以存储器为中心;忽略指令和数据同等存储的特点,不讨论哈佛结构等其他体系结构,需了解计算机系统的基本概念
315,计算机的硬件框图,4,计算机硬件由五大部件组成，运算器执行算术逻辑运算，控制器指挥协调各部件工作，存储器存放指令和数据。,五大部件功能 | 部件间连接 | 数据通路,运算器 | 控制器 | 存储器 | 输入设备 | 输出设备,[],不理解控制器的协调作用;混淆运算器和控制器的功能,不涉及具体的数据通路设计,需了解冯·诺依曼计算机的特点
316,计算机的工作步骤,4,计算机工作时先取指令再执行指令，指令和数据均以二进制形式存储在存储器中，由控制器按序执行。,取指执行过程 | 指令周期 | 程序执行,指令 | 程序 | 取指令 | 执行指令 | 指令周期,[],认为指令和数据需要分开存储;不理解指令周期的概念,不涉及流水线等高级技术,需了解计算机硬件的基本组成
317,1.3 计算机硬件的主要技术指标,3,衡量计算机性能的主要技术指标包括机器字长、存储容量和运算速度，它们共同决定了计算机的处理能力。,字长 | 存储容量 | 运算速度,机器字长 | 存储容量 | 运算速度 | MIPS | MFLOPS,[],只关注某一个技术指标而忽略其他;不理解各指标的含义,不涉及具体芯片的性能参数,需了解计算机的基本组成
318,机器字长,4,机器字长是指计算机一次能处理的二进制数据的位数，字长越长计算机的运算精度和处理能力越强。,字长定义 | 字长对性能的影响,机器字长 | 字长 | 精度 | 处理能力,[],将字长等同于存储单元的位数;不理解字长与运算精度的关系,不讨论具体处理器的字长设计,需了解计算机硬件技术指标的概念
319,存储容量,4,存储容量包括主存容量和辅存容量，主存容量通常用字数乘以字长表示，辅存容量则以字节数衡量。,主存容量 | 辅存容量 | 容量单位,存储容量 | 主存 | 辅存 | 字节 | 字,[],混淆主存和辅存的容量表示方法;不理解容量单位的换算,不涉及具体的存储器实现技术,需了解机器字长的概念
320,运算速度,4,运算速度通常用MIPS（每秒百万条指令）或MFLOPS（每秒百万次浮点运算）衡量，不同指令所需时间不同影响速度计算。,MIPS | MFLOPS | 指令执行时间,MIPS | MFLOPS | CPI | 主频 | 吞吐量,[],只用MIPS衡量所有计算机的性能;忽略CPI对速度的影响,不涉及具体的时钟频率设计,需了解机器字长和存储容量的概念
321,1.4 本书结构,3,介绍全书各章节的组织结构和学习路径，为读者提供学习计算机组成原理的整体框架和导航。,章节安排 | 学习路径 | 知识体系,章节结构 | 知识体系 | 学习路径,[],跳过此节直接学习后面章节导致缺乏全局观,不涉及各章节的具体内容,需了解计算机系统的基本组成
322,2 计算机的发展及应用,2,介绍计算机从诞生至今的发展历程、主要应用领域以及未来发展趋势，帮助理解计算机技术的演进脉络。,发展历程 | 应用领域 | 未来展望,计算机发展 | 电子计算机 | 应用领域,[],认为计算机发展只有硬件进步;忽略软件技术的同步发展,不讨论具体技术的实现细节,需掌握计算机系统概述的知识
323,2.1 计算机的发展史,3,计算机发展经历了四代演变，从电子管到超大规模集成电路，每一代以核心器件的变革为标志。,四代划分 | 核心器件 | 发展标志,第一代 | 第二代 | 第三代 | 第四代 | 集成电路,[],将四代计算机的划分标准搞混;忽略各代之间的技术传承,不涉及各代计算机的具体实现技术,需了解计算机的基本组成概念
324,计算机的产生和发展,4,1946年ENIAC诞生标志着电子计算机时代的开始，此后计算机经历了电子管、晶体管、集成电路和超大规模集成电路四个阶段。,ENIAC | 四代发展 | 核心器件变化,ENIAC | 电子管 | 晶体管 | 集成电路 | VLSI,[],误认为ENIAC是第一台机械计算机;混淆各代计算机的核心器件,不讨论具体计算机的内部电路设计,需了解计算机发展史的基本脉络
325,微型计算机的出现和发展,4,微型计算机以微处理器为核心，大大降低了计算机的成本和体积，推动了计算机的普及和广泛应用。,微处理器 | 微型化 | 普及化,微处理器 | 微型计算机 | 个人计算机 | PC,[],将微型计算机等同于个人计算机;忽略微处理器的核心作用,不涉及微处理器的具体设计,需了解计算机发展的基本历史
326,软件技术的兴起和发展,4,软件技术从机器语言发展到高级语言，操作系统、数据库、网络软件等系统软件不断完善，推动了计算机应用的拓展。,语言发展 | 系统软件 | 应用软件,机器语言 | 汇编语言 | 高级语言 | 操作系统,[],认为软件发展独立于硬件发展;忽略操作系统的核心地位,不讨论具体编程语言的实现,需了解计算机软硬件的基本概念
