node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
628,6 应用层,2,应用层为用户的应用进程提供网络通信服务，是OSI模型的最高层,直接为用户应用提供服务 | 应用层协议 | 应用进程 | 客户服务器方式,,[],将应用层等同于具体应用软件,不涉及数据如何在网络中传输的具体机制,已掌握运输层TCP/UDP的基本原理
629,6.1 域名系统DNS,3,DNS是互联网使用的分布式域名系统，将域名转换为IP地址,域名解析 | 域名系统 | 域名 | DNS服务器,域名解析,[],DNS只用于互联网域名解析，不包含IP地址分配,不涉及具体路由选择过程,已了解应用层基本概念
630,6.1.1 域名系统概述,4,DNS是互联网的核心目录服务，实现域名到IP地址的映射,域名到IP地址映射 | 分布式数据库 | 递归查询 | 迭代查询 | 层次化查询,,[],误认为DNS使用单一集中式服务器,DNS不负责邮件路由等功能,已理解DNS的基本作用
631,6.1.2 互联网的域名结构,4,互联网采用层次树状命名结构，域名由标号序列组成,层次命名 | 域名标号 | 顶级域名 | 二级域名 | 根域名服务器,,[],混淆顶级域名与二级域名,域名不区分大小写,已掌握DNS概述
632,6.1.3 域名服务器,4,域名服务器分为根域名服务器、顶级域名服务器、权限域名服务器和本地域名服务器,根域名服务器 | 本地域名服务器 | 权限域名服务器 | 缓存 | 递归查询,,[],本地域名服务器等同于权限域名服务器,根域名服务器全球仅13组,已理解互联网域名结构
633,6.2 文件传送协议,3,FTP是互联网上最早使用的文件传输协议，提供可靠的文件传输服务,文件传输 | 客户服务器模式 | 控制连接 | 数据连接 | FTP,,[],FTP与TFTP功能完全相同,TFTP不使用TCP,已掌握应用层基础
634,6.2.1 FTP概述,4,FTP采用客户服务器模式，使用两个并行TCP连接传输控制和数据,客户服务器 | 两个TCP连接 | 控制连接 | 数据连接 | 带外传送,,[],误认为FTP仅用一个连接,FTP不加密传输内容,已理解FTP基本思想
635,6.2.2 FTP的基本工作原理,4,FTP使用控制连接(端口21)传输命令，数据连接(端口20)传输文件数据,控制端口21 | 数据端口20 | 主动模式 | 被动模式 | 两个连接,,[],混淆主动模式与被动模式的端口,FTP不提供身份验证的加密,已掌握FTP概述
636,6.2.3 简单文件传送协议TFTP,4,TFTP是基于UDP的简单文件传送协议，适用于小文件传输,UDP传输 | 简单协议 | 小文件 | 端口69 | 无认证,,[],TFTP与FTP功能完全相同,TFTP不支持目录列表,已理解FTP工作原理
637,6.3 远程终端协议TELNET,3,TELNET提供远程登录功能，使用户能够远程操控另一台计算机,远程登录 | 客户服务器 | NVT | 端口23 | TCP连接,,[],TELNET传输内容是加密的,TELNET不支持图形界面,已掌握应用层协议基础
