node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
557,3.5.1 100BASE-T以太网,快速以太网(100BASE-T)在保持以太网帧格式基础上将速率提高到100Mbps，支持全双工和半双工模式,100BASE-TX | 100BASE-FX | 全双工 | 半双工,100Mbps | 快速以太网 | 802.3u,[],混淆100BASE-T与10BASE-T | 误认为100BASE-T仅支持半双工,不涉及具体设备配置,需理解以太网基本原理,
560,3.5.4 使用以太网进行宽带接入,以太网可用于宽带接入，通过PPPoE在以太网上建立PPP连接，实现用户认证和计费,PPPoE | 宽带接入 | 用户认证 | 计费,以太网接入 | PPPoE | HFC,[],混淆PPPoE与传统PPP | 误认为以太网接入无需认证,不涉及具体接入配置,需理解以太网和PPP基本原理,
628,6 应用层,2,应用层为用户的应用进程提供网络通信服务，是OSI模型的最高层,应用层协议 | DNS | HTTP | SMTP | FTP,,[],将应用层等同于具体应用软件,不涉及数据如何在网络中传输的具体机制,已掌握运输层TCP/UDP的基本原理
629,6.1 域名系统DNS,3,DNS是互联网使用的分布式域名系统，将域名转换为IP地址,域名解析 | 分布式数据库 | 递归查询 | 迭代查询,域名解析,[],DNS只用于互联网域名解析，不包含IP地址分配,不涉及具体路由选择过程,已了解应用层基本概念
630,6.1.1 域名系统概述,4,DNS是互联网的核心目录服务，实现域名到IP地址的映射,域名到IP映射 | 分布式数据库 | 层次化查询,,[],误认为DNS使用单一集中式服务器,DNS不负责邮件路由等功能,已理解DNS的基本作用
631,6.1.2 互联网的域名结构,4,互联网采用层次树状命名结构，域名由标号序列组成,层次命名 | 域名标号 | 顶级域名 | 二级域名,,[],混淆顶级域名与二级域名,不涉及6.1.2 互联网的域名结构的具体实现细节和扩展应用,已掌握DNS概述
632,6.1.3 域名服务器,4,域名服务器分为根域名服务器、顶级域名服务器、权限域名服务器和本地域名服务器,根域名服务器 | 权威域名服务器 | 本地域名服务器,,[],本地域名服务器等同于权限域名服务器,根域名服务器全球仅13组,已理解互联网域名结构
633,6.2 文件传送协议,3,FTP是互联网上最早使用的文件传输协议，提供可靠的文件传输服务,文件传输 | 控制连接 | 数据连接 | 客户服务器,,[],FTP与TFTP功能完全相同,TFTP不使用TCP,已掌握应用层基础
634,6.2.1 FTP概述,4,FTP采用客户服务器模式，使用两个并行TCP连接传输控制和数据,文件传输协议 | 交互式 | 控制连接 | 数据连接,,[],误认为FTP仅用一个连接,FTP不加密传输内容,已理解FTP基本思想
635,6.2.2 FTP的基本工作原理,4,FTP使用控制连接(端口21)传输命令，数据连接(端口20)传输文件数据,主进程 | 子进程 | 控制连接 | 数据连接,,[],混淆主动模式与被动模式的端口,FTP不提供身份验证的加密,已掌握FTP概述
636,6.2.3 简单文件传送协议TFTP,4,TFTP是基于UDP的简单文件传送协议，适用于小文件传输,简单文件传输 | UDP | TFTP,,[],TFTP与FTP功能完全相同,TFTP不支持目录列表,已理解FTP工作原理
637,6.3 远程终端协议TELNET,3,TELNET提供远程登录功能，使用户能够远程操控另一台计算机,远程登录 | 仿真终端 | NVT,,[],TELNET传输内容是加密的,TELNET不支持图形界面,已掌握应用层协议基础
638,6.4 万维网WWW,3,万维网是基于超文本的分布式信息系统，通过URL定位资源,万维网 | 超文本 | HTTP | URL,,[],万维网等同于互联网,万维网仅限于网页浏览,已理解DNS和FTP
639,6.4.1 万维网概述,4,万维网采用客户服务器方式，浏览器是客户，服务器存储网页,客户服务器 | 超文本链接 | 浏览器,,[],误认为服务器主动推送内容,万维网不包括电子邮件,已掌握万维网基本概念
640,6.4.2 统一资源定位符URL,4,URL用于唯一标识互联网资源位置，包含协议、主机、端口和路径,URL格式 | 协议 | 主机 | 路径,,[],URL与URN概念混淆,URL不保证资源一定存在,已理解万维网概述
641,6.4.3 超文本传送协议HTTP,4,HTTP是万维网的基础协议，采用请求响应模式传输超文本,请求响应 | 非状态 | 持久连接 | 非持久连接,,[],HTTP是状态协议,HTTP/1.0默认持久连接,已掌握URL概念
642,6.4.4 万维网的文档,4,万维网文档包括HTML、XML和动态文档CGI等格式,HTML | CSS | JavaScript | 静态文档 | 动态文档,,[],HTML是编程语言,XML与HTML功能相同,已理解HTTP协议
643,6.4.5 万维网的信息检索系统,4,信息检索系统通过搜索引擎在万维网上搜索和组织信息,搜索引擎 | 爬虫 | 索引 | 排名,,[],搜索引擎能理解网页含义,搜索引擎覆盖所有网页,已掌握万维网文档
644,6.4.6 博客和微博,4,博客是个人网页发布系统，微博是微博客的简称,博客 | RSS | 订阅,,[],博客与微博功能相同,不涉及6.4.6 博客和微博的具体实现细节和扩展应用,已了解信息检索系统
645,6.4.7 社交网站,4,社交网站允许用户建立个人资料并与其他用户互动交流,社交网络 | 好友关系 | 信息流,,[],社交网站是封闭系统,不涉及6.4.7 社交网站的具体实现细节和扩展应用,已了解博客和微博
