id,node_id,node_name,subject_name,qtype,difficulty,points,ladder_steps,correct_answer,question,options,explanation,generated_by
1,7,区间与邻域,数学分析,single_choice,2,1,4,0,设集合A={x|-1<x<3}，则A的邻域半径r=2的邻域表示为？,"A. (-1,3) | B. (-3,1) | C. (-1,1) | D. (1,3)","邻域半径r=2，中心为区间中点1，邻域为(1-2,1+2)=(-1,3)，即集合A本身。",ai
2,7,区间与邻域,数学分析,single_choice,2,1,4,1,设集合A={x|1<x<5}，B={x|3≤x≤7}，则A∩B等于（ ）,A. {x|1<x≤3} | B. {x|3≤x<5} | C. {x|3<x<5} | D. {x|1<x<7},"交集取两集合的公共部分，A为开区间(1,5)，B为闭区间[3,7]，公共部分为[3,5)，即{x|3≤x<5}。",ai
3,7,区间与邻域,数学分析,single_choice,2,1,4,0,设集合A={x|1<x<5}，则下列哪个选项是A的邻域表示？,"A. U(3,2) | B. U(3,4) | C. U(2,3) | D. U(1,4)","邻域U(a,δ)表示以a为中心，δ为半径的开区间(a-δ,a+δ)。A=(1,5)的中心为3，半径δ=2，因此A=U(3,2)。",ai
4,601,分值与题量,英语一,single_choice,2,1,4,1,在标准试卷中，若总分为100分，题量为20题，则每题分值通常为多少？,A. 4分 | B. 5分 | C. 10分 | D. 20分,总分100分除以题量20题，平均每题5分，故正确答案为5分。,ai
5,601,分值与题量,英语一,single_choice,2,1,4,1,某考试试卷总分为100分，共25道题，其中单选题20道，每题3分，多选题5道，每题4分。若某考生单选题全部答对，多选题答对3道，则该考生总分为多少？,A. 60分 | B. 72分 | C. 76分 | D. 80分,单选题得分20×3=60分，多选题答对3道得3×4=12分，总分60+12=72分。,ai
6,601,分值与题量,英语一,single_choice,2,1,4,1,在标准试卷中，若总分为100分，题量为20道，则每道题的分值是多少？,A. 4分 | B. 5分 | C. 10分 | D. 20分,总分100分除以题量20道，每道题分值=100/20=5分，故选B。,ai
7,600,1.1 题型概述,英语一,single_choice,2,1,4,0,下列关于题型概述的说法，正确的是？,A. 题型概述主要介绍考试的整体结构 | B. 题型概述只涉及选择题的解题技巧 | C. 题型概述与考试内容无关 | D. 题型概述仅适用于主观题,题型概述通常涵盖考试的整体结构、题型分布及答题要求，帮助考生全面了解考试形式。,ai
8,600,1.1 题型概述,英语一,single_choice,2,1,4,0,下列关于题型概述的说法，正确的是？,A. 题型概述主要介绍考试的整体结构 | B. 题型概述只关注单选题的解题技巧 | C. 题型概述与考试内容无关 | D. 题型概述仅适用于主观题,题型概述是对考试中各类题型的特点、要求和解题策略的总体介绍，涵盖整体结构，而非仅针对某类题型或与内容无关。,ai
9,600,1.1 题型概述,英语一,single_choice,2,1,4,1,关于1.1题型概述，以下哪项描述最准确？,A. 题型概述主要介绍考试形式 | B. 题型概述主要介绍题目类型及特点 | C. 题型概述主要介绍答题技巧 | D. 题型概述主要介绍评分标准,1.1题型概述的核心是介绍各类题型的定义、特征和考查目标，帮助考生理解题目结构，而非仅涉及形式或技巧。,ai
10,603,选材特点,英语一,single_choice,2,1,4,1,在记叙文写作中，选材时最应优先考虑的是哪一项？,A. 材料越新奇越好，与主题无关也可 | B. 材料必须真实、典型，且能有力支撑中心思想 | C. 材料数量越多越好，无需筛选 | D. 只选自己亲身经历的材料，忽略他人事例,选材应紧扣中心，选择真实、典型、有代表性的材料，以有效表达主题，而非盲目求新或求多。,ai
11,603,选材特点,英语一,single_choice,2,1,4,2,在记叙文写作中，选材特点通常不包括以下哪一项？,A. 围绕中心选择典型材料 | B. 材料要真实、新颖、有细节 | C. 材料越多越好，无需筛选 | D. 材料应能突出文章主旨,选材需围绕中心、真实新颖且有细节，并非越多越好，应精挑细选以服务主题。,ai
12,603,选材特点,英语一,single_choice,2,1,4,2,在记叙文写作中，选材特点通常不包括以下哪一项？,A. 围绕中心选择典型材料 | B. 材料要真实、新颖 | C. 材料越多越好，无需筛选 | D. 注意材料的详略得当,选材特点强调围绕中心、真实新颖、详略得当，而非盲目堆砌材料。材料过多且不加筛选会削弱主题，故C项错误。,ai
13,604,1.2 词汇辨析,英语一,single_choice,2,1,4,0,下列词语中，与“审慎”意思最接近的是？,A. 谨慎 | B. 粗心 | C. 果断 | D. 轻率,“审慎”意为周密而谨慎，与“谨慎”含义相近，故选A。,ai
14,604,1.2 词汇辨析,英语一,single_choice,2,1,4,1,下列词语中，与“深思熟虑”意思最接近的是？,A. 处心积虑 | B. 冥思苦想 | C. 心血来潮 | D. 灵机一动,深思熟虑指深入细致地考虑，冥思苦想意为绞尽脑汁地思考，二者意思相近。处心积虑含贬义，心血来潮和灵机一动强调突然产生想法。,ai
15,604,1.2 词汇辨析,英语一,single_choice,2,1,4,0,下列词语中，加点字读音完全相同的一项是（　　）,A. A. 勉强　强词夺理　强人所难 | B. B. 累赘　果实累累　劳累过度 | C. C. 差遣　参差不齐　差强人意 | D. D. 供给　自给自足　家给人足,A项均读qiǎng；B项“累赘”读léi，“果实累累”读léi，“劳累”读lèi；C项“差遣”读chāi，“参差”读cī，“差强人意”读chā；D项“供给”读gōng，“自给”读jǐ，“家给人足”读jǐ。,ai
16,601,分值与题量,英语一,single_choice,2,1,4,2,在标准试卷中，若总分为100分，题量为20题，则每题分值为多少？,A. 3分 | B. 4分 | C. 5分 | D. 6分,总分100分除以题量20题，即100÷20=5分，故每题5分。,ai
17,601,分值与题量,英语一,single_choice,2,1,4,1,在标准试卷中，若总分值为100分，题量为20道，则每道题的平均分值是？,A. 4分 | B. 5分 | C. 6分 | D. 10分,总分100分除以题量20道，平均每道题5分。,ai
18,601,分值与题量,英语一,single_choice,2,1,4,1,在标准试卷中，若总分为100分，题量为20题，且所有题目分值相同，则每题分值为多少？,A. 4分 | B. 5分 | C. 6分 | D. 10分,总分100分除以题量20题，即100÷20=5分，因此每题分值为5分。,ai
19,600,1.1 题型概述,英语一,single_choice,2,1,4,2,关于1.1题型概述，以下哪项描述最准确？,A. 题型概述主要介绍考试形式 | B. 题型概述仅列出题目类型名称 | C. 题型概述涵盖题型特点、解题要求及常见策略 | D. 题型概述只关注单选题的答题技巧,题型概述通常系统介绍各类题型的特点、解题要求和应对策略，而非仅罗列名称或单一形式。,ai
20,600,1.1 题型概述,英语一,single_choice,2,1,4,1,关于1.1题型概述，以下哪项描述最准确？,A. 题型概述主要介绍考试流程 | B. 题型概述是本章节的开篇内容，用于总览各类题型特点 | C. 题型概述只包含单选题型 | D. 题型概述与考试无关,1.1题型概述作为章节起始部分，旨在概括介绍后续将涉及的题型类别及其基本特征，为学习具体题型打下基础。,ai
21,600,1.1 题型概述,英语一,single_choice,2,1,4,2,关于1.1题型概述，以下哪项描述最准确？,A. 题型概述主要介绍考试的整体结构 | B. 题型概述仅涉及选择题的答题技巧 | C. 题型概述是对各类题型的特征、要求及应对策略的总体说明 | D. 题型概述只关注主观题的评分标准,题型概述通常涵盖所有题型的特征、要求及应对策略，而非仅限某一类或考试结构，故选C。,ai
22,603,选材特点,英语一,single_choice,2,1,4,2,在记叙文写作中，选材时最应优先考虑的是哪一项？,A. 材料的新颖性 | B. 材料的真实性 | C. 材料的典型性 | D. 材料的数量多,选材应注重典型性，即选择最能表现主题、最具代表性的材料，而非单纯追求新颖、真实或数量。,ai
23,603,选材特点,英语一,single_choice,2,1,4,1,在作文选材时，下列哪种做法最能体现“选材特点”中的“新颖”要求？,A. 选用人人皆知的名人事例 | B. 选用自己亲身经历的小事 | C. 选用陈旧老套的寓言故事 | D. 选用道听途说的奇闻异事,新颖选材强调独特性和个人体验，亲身经历的小事往往更具真实感和个性，避免千篇一律。,ai
24,603,选材特点,英语一,single_choice,2,1,4,3,在记叙文写作中，选材特点通常不包括以下哪一项？,A. 材料要真实典型 | B. 材料要新颖独特 | C. 材料要围绕中心 | D. 材料要越多越好,选材应精当而非贪多，需围绕中心选取典型材料，故D项错误。,ai
25,604,1.2 词汇辨析,英语一,single_choice,2,1,4,1,下列词语中，与“谨慎”意思最接近的是？,A. 粗心 | B. 小心 | C. 勇敢 | D. 果断,“谨慎”指对外界事物或自己的言行密切注意，以免发生不利或不幸的事情，与“小心”意思相近。,ai
26,604,1.2 词汇辨析,英语一,single_choice,2,1,4,0,"The new policy will ______ the way we do business, making it more efficient and transparent.",A. transform | B. transport | C. transfer | D. transmit,transform意为彻底改变，符合句意；transport运输，transfer转移，transmit传播，均不适用。,ai
27,604,1.2 词汇辨析,英语一,single_choice,2,1,4,0,"The new policy will ______ the way we handle customer complaints, making the process more efficient.",A. affect | B. effect | C. infect | D. perfect,affect作动词意为‘影响’，符合句意；effect作名词或动词‘实现’，infect‘感染’，perfect‘完善’均不恰当。,ai
28,7,区间与邻域,数学分析,single_choice,2,1,4,1,设集合A={x|-1<x<3}，则A的邻域半径r=2的中心是？,A. 0 | B. 1 | C. 2 | D. 3,"区间(-1,3)的中心为(3+(-1))/2=1，邻域半径为(3-(-1))/2=2，故中心为1。",ai
29,7,区间与邻域,数学分析,single_choice,2,1,4,2,设集合A={x|-1≤x≤3}，则A的邻域半径δ=1的邻域表示为（ ）,"A. (-1,3) | B. [-1,3] | C. (0,2) | D. [0,2]","邻域通常指开区间，以区间中点1为中心，半径1，故为(0,2)。",ai
30,7,区间与邻域,数学分析,single_choice,2,1,4,0,设集合A={x|-1<x<3}，则A的邻域半径r=2时，点x=1的邻域是？,"A. (-1,3) | B. (-1,5) | C. (-1,1) | D. (1,3)","点1的邻域为(1-2,1+2)=(-1,3)，与集合A相同，故选A。",ai
31,6,1.2 数集·确界原理,数学分析,single_choice,2,1,4,1,"设集合A={x|x^2<2, x∈Q}，则A在有理数集Q中的上确界是？",A. √2 | B. 不存在 | C. 2 | D. √2但√2∉Q，故上确界不存在,A的上界为所有≥√2的有理数，但有理数集内无最小上界，故上确界不存在于Q中，选B。,ai
32,6,1.2 数集·确界原理,数学分析,single_choice,2,1,4,1,"设集合A={x|x^2<2, x∈Q}，则A在有理数集Q中的上确界是？",A. √2 | B. 不存在 | C. 2 | D. √2但√2∉Q，故上确界不存在,A的上界为所有≥√2的有理数，但Q中无最小上界，因为√2∉Q，故在Q内上确界不存在。,ai
33,6,1.2 数集·确界原理,数学分析,single_choice,2,1,4,2,"设集合A={x|x∈Q, x^2<2}，则下列说法正确的是（ ）",A. A有上界但无下界 | B. A有下界但无上界 | C. A有上界和下界 | D. A无上界也无下界,A中的数满足x^2<2，故-√2<x<√2，因此A既有上界√2又有下界-√2，故选C。,ai
34,3,1.1 实数,数学分析,single_choice,2,1,4,0,下列实数中，无理数是（　　）,A. 0.1010010001…（相邻两个1之间依次多一个0） | B. 3.14 | C. √4 | D. 22/7,无理数是无限不循环小数。0.1010010001…符合定义；3.14、√4=2、22/7均为有理数。,ai
35,3,1.1 实数,数学分析,single_choice,2,1,4,2,下列实数中，无理数是（ ）,A. 0.333… | B. √4 | C. π/2 | D. 22/7,无理数是无限不循环小数。π/2含π，是无理数；0.333…是循环小数，√4=2，22/7是分数，均为有理数。,ai
36,3,1.1 实数,数学分析,single_choice,2,1,4,0,下列实数中，无理数是（　　）,A. 0.1010010001…（相邻两个1之间依次多一个0） | B. 22/7 | C. √4 | D. 3.14,无理数是无限不循环小数。选项A是无限不循环小数，是无理数；22/7、√4=2、3.14都是有理数。,ai
37,5,绝对值与不等式,数学分析,single_choice,2,1,4,0,若 |x-3| < 2，则 x 的取值范围是？,A. 1 < x < 5 | B. x < 5 | C. x > 1 | D. x ≤ 1 或 x ≥ 5,绝对值不等式 |x-3| < 2 等价于 -2 < x-3 < 2，解得 1 < x < 5。,ai
38,5,绝对值与不等式,数学分析,single_choice,2,1,4,0,若 |x-3| < 2，则 x 的取值范围是？,"A. (1, 5) | B. [1, 5] | C. (-∞, 1) ∪ (5, +∞) | D. (-1, 5)",由 |x-3| < 2 得 -2 < x-3 < 2，即 1 < x < 5，故选 A。,ai
39,5,绝对值与不等式,数学分析,single_choice,2,1,4,2,若|a|>3，则a的取值范围是？,A. a>3 | B. a<-3 | C. a>3或a<-3 | D. -3<a<3,绝对值大于3意味着数轴上a到原点的距离大于3，所以a在3的右侧或-3的左侧，即a>3或a<-3。,ai
40,4,实数及其性质,数学分析,single_choice,2,1,4,2,下列实数中，属于无理数的是（　　）,A. 0.333… | B. √4 | C. π/2 | D. 22/7,无理数是无限不循环小数。π/2含π，是无理数；0.333…是循环小数，√4=2，22/7是分数，均为有理数。,ai
41,4,实数及其性质,数学分析,single_choice,2,1,4,2,下列实数中，属于无理数的是（　　）,A. √4 | B. 3.14 | C. √2 | D. 1/3,√4=2，3.14和1/3均为有理数，√2不能化为分数，是无理数。,ai
