node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
98,7.6.2 每一对顶点之间的最短路径,4,求带权图中任意两顶点间最短路径的问题,Floyd算法 | 动态规划 | 多源最短路径 | 距离矩阵,Floyd算法|全源最短路径|[],Floyd与Dijkstra复杂度混淆|路径矩阵初始化错误,全源最短路径的应用,单源最短路径和矩阵运算,
100,8.1 概述,3,动态存储管理研究程序运行时内存分配与回收的基本问题,内存分配 | 内存回收 | 动态分区,动态存储管理|存储分配|[],动态与静态存储混淆|内存碎片的概念,存储分配的基本方法,操作系统和程序运行环境,
101,8.2 可利用空间表及分配方法,3,操作系统管理空闲内存块的数据结构和分配策略,可利用空间表 | 首次适应 | 最佳适应 | 最差适应,[][],三种分配策略的性能差异|首次拟合与最佳拟合混淆,内存分配策略的选择,不涉及8.2 可利用空间表及分配方法的具体实现细节和扩展应用,
102,8.3 边界标识法,3,在每个内存块首尾设置标识符以区分空闲块和占用块的存储管理方法,边界标识 | 头部和尾部 | 分配和回收,[][],边界标识与伙伴系统混淆|首尾标识的作用,边界标识法的内存回收,可利用空间表及分配方法,
103,8.3.1 可利用空间表的结构,4,边界标识法中空闲块的组织结构包含块头块尾和指针,空闲块链表 | 分配策略 | 碎片整理,可利用空间表|循环链表|[],空闲块与占用块标识混淆|指针连接方式,可利用空间表的初始化,不涉及8.3.1 可利用空间表的结构的具体实现细节和扩展应用,
104,8.3.2 分配算法,4,从可利用空间表中找到合适空闲块进行内存分配的方法,分配算法 | 首次适应 | 最佳适应,[][],分配后空闲块处理错误|内存对齐问题,分配算法的性能分析,不涉及8.3.2 分配算法的具体实现细节和扩展应用,
105,8.3.3 回收算法,4,释放占用块并将其与相邻空闲块合并回收的过程,回收算法 | 空闲块合并 | 边界检查,[][],合并条件判断错误|回收时指针调整遗漏,回收算法的四种情况,分配算法和边界标识法,
106,8.4 伙伴系统,3,将内存块按2的幂次划分并通过伙伴关系管理的存储分配方法,伙伴系统 | 二分法 | 合并策略,伙伴系统|[],伙伴关系与邻接关系混淆|分裂和合并的条件,伙伴系统的内存管理,边界标识法和动态存储管理,
107,8.4.1 可利用空间表的结构,4,伙伴系统中按块大小组织的可利用空间表结构,伙伴系统空间表 | 块大小 | 分配回收,[][],各大小类链表的组织方式|空闲块大小分类错误,伙伴系统的初始化,不涉及8.4.1 可利用空间表的结构的具体实现细节和扩展应用,
108,8.4.2 分配算法,4,在伙伴系统中按请求大小寻找或分裂空闲块的分配方法,伙伴系统分配 | 查找空闲块 | 分裂,[][],分配时未考虑对齐|分裂方向错误,伙伴系统的分配策略,不涉及8.4.2 分配算法的具体实现细节和扩展应用,
109,8.4.3 回收算法,4,释放块与其伙伴块合并回收的过程仅当伙伴空闲时合并,伙伴系统回收 | 空闲块合并 | 伙伴检测,[][],伙伴块判定错误|合并后的大小类处理,回收时伙伴块的查找,不涉及8.4.3 回收算法的具体实现细节和扩展应用,
110,8.5 无用单元收集,3,回收程序中不再使用的存储单元以避免内存泄漏的技术,垃圾回收 | 标记清除 | 引用计数,无用单元|垃圾回收|GC|[],引用计数循环引用问题|标记清除的停顿问题,无用单元收集的算法,动态存储管理基本概念,
111,8.6 存储紧缩,3,将所有占用块移动到内存一端以消除碎片的技术,存储紧缩 | 碎片整理 | 内存压缩,[][],紧缩时指针更新错误|紧缩开销评估,存储紧缩的实现方法,无用单元收集和碎片管理,
112,9 查找,2,根据给定关键字在数据集合中确定特定元素的过程是数据处理的基本操作,查找表 | 关键字 | 查找效率,[][],查找与检索概念混淆|成功与失败的判定,查找算法的性能分析,不涉及9 查找的具体实现细节和扩展应用,
113,9.1 静态查找表,3,仅进行查找操作而不进行插入删除的查找表数据集合固定,静态查找 | 顺序表 | 有序表,静态查找表|[],静态与动态查找表混淆|不同查找方法的适用条件,静态查找表的组织方式,不涉及9.1 静态查找表的具体实现细节和扩展应用,
114,9.1.1 顺序表的查找,4,在顺序存储的线性表中逐个元素比较的查找方法适用于无序表,顺序查找 | 从头到尾 | O(n),顺序查找|ASL|O(n)|[],哨兵优化的原理|比较次数计算错误,顺序查找的时间复杂度分析,不涉及9.1.1 顺序表的查找的具体实现细节和扩展应用,
115,9.1.2 有序表的查找,4,在有序顺序表中利用有序性进行折半查找的方法仅适用于顺序存储,折半查找 | 二分法 | O(log n),折半查找|ASL|[],折半查找不适用于链表|mid计算方式混淆|查找区间更新错误,折半查找的时间复杂度和判定树,顺序表查找和有序表特性,
116,9.1.3 静态树表的查找,4,在给定查找概率不等时构造最优二叉树进行查找的方法,静态树表 | 查找概率 | 加权平均,静态最优查找树|ASL|[],最优查找树与平衡二叉树混淆|概率分布的影响,静态最优查找树的构造,不涉及9.1.3 静态树表的查找的具体实现细节和扩展应用,
117,9.1.4 索引顺序表的查找,4,在索引顺序表上先查索引再在块内顺序查找的方法即分块查找,索引顺序表 | 分块查找 | 索引表,分块查找|ASL|[],索引表与数据表关系混淆|块大小对性能的影响,分块查找的性能分析,不涉及9.1.4 索引顺序表的查找的具体实现细节和扩展应用,
118,9.2 动态查找表,3,在查找过程中可进行插入删除操作的查找表数据集合动态变化,动态查找 | 插入删除 | 树形结构,动态查找表|[],动态查找与静态查找的操作差异|查找失败时的插入位置,动态查找表的组织方式,不涉及9.2 动态查找表的具体实现细节和扩展应用,
119,9.2.1 二叉排序树和平衡二叉树,4,二叉排序树左子树关键字小于根小于右子树平衡二叉树保证左右子树高度差不超过1,二叉排序树 | 平衡因子 | AVL树,二叉排序树|平衡二叉树|LL|RR|LR|RL|[],BST退化为链表|AVL旋转操作错误|平衡因子计算错误,二叉排序树和AVL树的应用,不涉及9.2.1 二叉排序树和平衡二叉树的具体实现细节和扩展应用,
120,9.2.2 B_树和B+树,4,B树是多路平衡查找树每个结点含多个关键字和子树指针,B树 | 多路平衡 | 磁盘存储,B树|B+树|[],B树与B+树区别混淆|分裂合并条件错误|阶数m与关键字数关系,B树和B+树的应用场景,平衡二叉树和多路查找,
121,9.2.3 键树,4,从根到叶子路径表示一个关键字的树形结构用于字符串查找,键树 | 数字查找树 | 前缀,键树|Trie|[],键树与二叉排序树混淆|双链树的结点结构,键树在字符串检索中的应用,不涉及9.2.3 键树的具体实现细节和扩展应用,
