"node_id","name","level","definition","core_elements","key_terms","formulas","common_mistakes","scope_boundary","prerequisites_desc"
"723","1 操作系统概述","2","操作系统是管理计算机硬件与软件资源的系统软件，是用户与计算机硬件之间的接口。","硬件管理 | 软件服务 | 用户接口 | 资源分配","操作系统 | 系统软件 | 接口","[]","将操作系统等同于应用软件 | 忽略操作系统对硬件的直接管理作用","不涉及具体操作系统内部实现细节，仅做宏观概述","具备计算机组成原理和程序设计的基础知识。"
"724","1.1 操作系统的基本概念","3","从功能、特征和目标等角度全面理解操作系统的本质属性和存在意义。","概念定义 | 功能目标 | 基本特征","操作系统 | 功能 | 特征","[]","混淆操作系统的功能和目标 | 将特征等同于功能","不深入讨论具体操作系统的设计与实现","需先了解操作系统的基本定义和作用。"
"725","1.1.1 操作系统的概念","4","操作系统是控制和管理计算机系统内各种硬件和软件资源、合理组织计算机工作流程的系统软件。","资源管理器 | 硬件抽象 | 用户接口 | 程序执行环境","操作系统 | 系统软件 | 资源管理","[]","将操作系统视为应用软件 | 认为操作系统仅是用户界面","不涉及操作系统内核的具体实现机制","需了解计算机硬件组成和软件分类。"
"726","1.1.2 操作系统的功能和目标","4","操作系统的核心功能包括处理器管理、存储器管理、设备管理和文件管理，目标是方便、高效和安全。","处理器管理 | 存储器管理 | 设备管理 | 文件管理 | 系统安全","功能 | 目标 | 方便性 | 高效性 | 安全性","[]","将功能与目标混淆 | 忽略安全目标的重要性","不深入各管理模块的具体算法和数据结构","需理解操作系统的概念和计算机系统结构。"
"727","1.1.3 操作系统的特征","4","操作系统具有并发、共享、虚拟和异步四个基本特征，其中并发和共享是基础特征。","并发性 | 共享性 | 虚拟性 | 异步性","并发 | 共享 | 虚拟 | 异步","[]","将并发等同于并行 | 忽略异步性的含义 | 混淆虚拟与模拟","不涉及各特征的具体实现技术","需理解操作系统的基本概念和功能。"
"728","1.2 操作系统发展历程","3","操作系统从手工操作到批处理、分时、实时、网络和分布式系统的演进过程。","手工操作阶段 | 批处理阶段 | 分时系统 | 实时系统 | 网络与分布式系统","发展历程 | 批处理 | 分时 | 实时","[]","混淆各阶段的技术特征 | 忽略各阶段的驱动因素","不深入分析各阶段的详细技术实现","需了解计算机硬件的发展历史。"
"729","1.2.1 手工操作阶段（未配置操作系统）","4","早期计算机通过穿孔纸带手工输入程序，CPU大量时间处于空闲状态，效率极低。","穿孔纸带 | 手工装卸 | CPU空闲 | 无操作系统","手工操作 | 穿孔纸带 | 作业","[]","认为手工操作阶段已有操作系统 | 高估此阶段的自动化程度","不讨论手工操作的具体操作流程细节","需了解早期计算机的基本工作方式。"
"730","1.2.2 批处理阶段（操作系统开始出现）","4","将多个作业成批提交计算机，由监控程序自动调度执行，分为单道和多道批处理系统。","监控程序 | 作业调度 | 单道批处理 | 多道批处理","批处理 | 监控程序 | 作业 | 多道程序设计","[]","混淆单道和多道批处理的区别 | 认为批处理就是分时系统","不深入分析调度算法的具体实现","需理解手工操作阶段的局限性。"
"731","1.2.3 分时操作系统","4","采用时间片轮转方式为多个用户提供交互式服务，使用户感觉独占计算机。","时间片轮转 | 多路性 | 交互性 | 独占感","分时系统 | 时间片 | 交互性 | 多路性","[]","将分时等同于实时 | 认为分时系统无并发","不讨论时间片长度的优化问题","需理解批处理系统的特点和不足。"
"732","1.2.4 实时操作系统","4","在严格时间限制内响应外部事件并完成处理任务的系统，分为硬实时和软实时。","严格时限 | 快速响应 | 硬实时 | 软实时","实时系统 | 硬实时 | 软实时 | 截止时间","[]","混淆硬实时和软实时的定义 | 将实时等同于快速","不讨论实时系统的具体调度算法","需了解分时系统的工作原理。"
"733","1.2.5 网络操作系统和分布式系统","4","网络操作系统提供网络管理和资源共享，分布式系统将任务分布到多台计算机协同完成。","网络管理 | 资源共享 | 任务分布 | 协同计算","网络操作系统 | 分布式系统 | 透明性","[]","将网络操作系统等同于分布式系统 | 忽略分布式系统的透明性","不讨论网络协议和分布式算法的具体实现","需了解计算机网络的基本概念。"
"734","1.2.6 微机操作系统","4","面向个人计算机的操作系统，从单用户单任务发展到多用户多任务，代表有DOS、Windows、Linux等。","单用户单任务 | 多用户多任务 | 图形界面 | 多媒体支持","微机操作系统 | DOS | Windows | Linux","[]","认为微机操作系统就是个人电脑操作系统 | 忽略其发展演变过程","不比较各微机操作系统的优劣","需了解操作系统的基本发展历程。"
"735","1.3 操作系统的运行环境","3","操作系统运行所需的硬件支持和软件环境，包括内核结构、处理机模式和中断机制。","内核结构 | 处理机模式 | 中断机制 | 系统调用","运行环境 | 内核 | 中断 | 系统调用","[]","混淆内核态和用户态的区别 | 忽略中断的重要性","不深入讨论内核的具体设计和实现","需理解操作系统的基本概念和功能。"
"736","1.3.1 操作系统内核","4","操作系统内核是操作系统最基本的部分，管理系统的事务处理、中断、异常和系统调用等。","事务处理 | 中断管理 | 异常处理 | 系统调用","内核 | 微内核 | 宏内核","[]","将内核等同于操作系统 | 混淆微内核和宏内核","不讨论不同内核架构的优劣比较","需了解操作系统的基本组成和运行环境。"
"737","1.3.2 处理机的双重工作模式","4","处理机分为用户态和内核态两种模式，用户态程序不能直接访问内核态资源，需通过系统调用。","用户态 | 内核态 | 模式切换 | 特权指令","用户态 | 内核态 | 模式位 | 特权指令","[]","认为用户态程序可直接执行特权指令 | 忽略模式切换的开销","不讨论模式切换的具体实现细节","需了解操作系统内核和处理机的工作方式。"
"738","1.3.3 中断和异常的概念","4","中断是由外部设备引起的异步事件，异常是CPU执行指令时产生的同步事件，两者都是操作系统获得控制权的手段。","中断 | 异步事件 | 同步事件 | 控制权转移","中断 | 异常 | 中断向量 | 中断服务程序","[]","混淆中断和异常的区别 | 认为中断只能由硬件引起","不讨论中断控制器的具体硬件实现","需了解处理机的工作模式和计算机组成原理。"
"739","1.3.4 系统调用","4","操作系统提供给应用程序的接口，用户程序通过系统调用请求操作系统服务，实现从用户态到内核态的切换。","应用程序接口 | 服务请求 | 态切换 | 功能封装","系统调用 | API | 用户态 | 内核态","[]","将系统调用等同于普通函数调用 | 忽略系统调用的态切换开销","不讨论具体系统调用的实现细节","需理解处理机的工作模式和中断的概念。"
"740","1.4 操作系统结构","3","操作系统的整体架构设计方式，包括模块化、分层、微内核和外核等结构。","模块化结构 | 分层结构 | 微内核结构 | 外核结构","模块化 | 分层 | 微内核 | 外核","[]","混淆不同操作系统结构的特点 | 认为微内核比宏内核更优","不深入讨论各结构的具体设计和实现","需了解操作系统内核的基本概念。"
"741","1.5 操作系统引导","3","计算机加电后操作系统从存储设备加载到内存并开始执行的过程，包括BIOS自检和引导程序加载。","BIOS自检 | 引导程序 | 分区表 | 操作系统加载","引导 | BIOS | MBR | GRUB","[]","将BIOS等同于操作系统 | 忽略引导程序的作用","不讨论具体BIOS和引导程序的实现","需了解计算机硬件启动过程。"
"742","1.6 虚拟机","3","通过软件模拟完整计算机硬件环境，使一台物理机可同时运行多个操作系统实例的技术。","软件模拟 | 硬件抽象 | 多实例运行 | 资源隔离","虚拟机 | Hypervisor | 虚拟化","[]","将虚拟机等同于模拟器 | 忽略虚拟化的性能开销","不讨论虚拟机的具体实现技术","需了解操作系统的基本概念和计算机硬件。"
