node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
646,6.5 电子邮件,3,电子邮件是互联网最早的应用之一，提供异步消息传递服务,异步通信 | 客户服务器 | SMTP | POP3 | IMAP,,[],电子邮件是实时通信,电子邮件不支持多媒体,已掌握应用层基础
647,6.5.1 电子邮件概述,4,电子邮件系统由用户代理、邮件服务器和邮件协议组成,用户代理 | 邮件服务器 | 发送协议 | 读取协议 | 邮箱,,[],用户代理等同于邮件服务器,邮件服务器必须同时在线,已理解电子邮件概念
648,6.5.2 简单邮件传送协议SMTP,4,SMTP是电子邮件发送协议，使用TCP连接传输邮件,发送协议 | TCP连接 | 端口25 | ASCII | 命令响应,,[],SMTP用于接收邮件,SMTP支持二进制数据,已掌握电子邮件概述
649,6.5.3 电子邮件的信息格式,4,电子邮件由信封和内容两部分组成，内容包括首部和主体,信封 | 首部 | 主体 | 邮件地址 | MIME,,[],邮件地址区分大小写,不涉及6.5.3 电子邮件的信息格式的具体实现细节和扩展应用,已理解SMTP协议
650,6.5.4 邮件读取协议POP3和IMAP,4,POP3和IMAP用于从邮件服务器读取邮件，POP3下载后删除服务器副本,POP3 | IMAP | 读取协议 | 端口110 | 端口143,,[],POP3和IMAP功能完全相同,POP3支持在线操作,已掌握邮件格式
651,6.5.5 基于万维网的电子邮件,4,用户通过浏览器访问Web邮件服务收发电子邮件,浏览器 | Web邮件 | HTTP | SMTP | POP3,,[],Web邮件不使用SMTP,Web邮件无存储限制,已理解POP3和IMAP
652,6.5.6 通用互联网邮件扩充MIME,4,MIME扩展了电子邮件支持的数据类型，允许传输非ASCII内容,MIME | 内容类型 | 编码 | 多部分消息 | 附件,,[],MIME替代了SMTP,MIME只用于电子邮件,已掌握邮件读取协议
653,6.6 动态主机配置协议DHCP,3,DHCP允许主机自动获取IP地址等网络配置参数,自动配置 | 客户服务器 | 广播 | 租用 | UDP端口67/68,,[],DHCP分配永久IP地址,DHCP用于域名解析,已掌握应用层基础
654,6.7 简单网络管理协议SNMP,3,SNMP用于网络设备的管理和监控，采用轮询机制,网络管理 | 管理站 | 代理 | MIB | 轮询,,[],SNMP主动推送告警,SNMP可配置设备参数,已了解网络管理概念
655,6.7.1 网络管理的基本概念,4,网络管理包括配置管理、故障管理、性能管理、计费管理和安全管理,配置管理 | 故障管理 | 性能管理 | 计费管理 | 安全管理,,[],网络管理仅监控流量,不涉及6.7.1 网络管理的基本概念的具体实现细节和扩展应用,已掌握SNMP概述
656,6.7.2 管理信息结构SMI,4,SMI定义了管理对象的命名规则和数据类型,ASN.1 | 对象标识符 | 数据类型 | 编码规则 | 管理信息结构,,[],SMI等同于MIB,SMI定义具体管理对象,已理解网络管理概念
