node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
199,隐函数的导数,4,"对方程F(x,y)=0两边关于x求导，将y视为x的函数，解出y对x的导数。隐函数求导的关键是正确应用链式法则。",隐函数求导 | 链式法则 | 方程两边求导,隐函数求导法 | 隐函数导数 | 隐函数存在条件,隐函数 | 隐函数求导,F(x,y)=0⟹dy/dx=-Fₓ/Fᵧ,求导时忘记y是x的函数 | 分母为零的情况未讨论 | 隐函数存在条件不验证
209,罗尔定理,4,"若函数f(x)在闭区间[a,b]上连续，在开区间(a,b)内可导，且f(a)=f(b)，则至少存在一点ξ∈(a,b)使得f'(ξ)=0。罗尔定理是拉格朗日中值定理的特殊情况。",闭区间连续 | 开区间可导 | 端点值相等,b)可导且f(a)=f(b)则存在ξ∈(a,b)使f'(ξ)=0,闭区间连续 | 开区间可导 | 端点值相等 | 导数为零点,罗尔定理 | 驻点 | 费马引理,若f满足条件则∃ξ∈(a
210,拉格朗日中值定理,4,"若函数f(x)在闭区间[a,b]上连续，在开区间(a,b)内可导，则至少存在一点ξ∈(a,b)使得f(b)-f(a)=f'(ξ)(b-a)。拉格朗日中值定理建立了函数增量与导数之间的联系。",闭区间连续 | 开区间可导 | 拉格朗日中值,b)可导则存在ξ∈(a,b)使f(b)-f(a)=f'(ξ)(b-a),闭区间连续 | 开区间可导 | 中值ξ | 增量公式,拉格朗日定理 | 中值公式,f(b)-f(a)=f'(ξ)(b-a) | Δy=f'(ξ)Δx
211,柯西中值定理,4,"若函数f(x)和g(x)在闭区间[a,b]上连续，在开区间(a,b)内可导，且g'(x)≠0，则至少存在一点ξ∈(a,b)使得[f(b)-f(a)]/[g(b)-g(a)]=f'(ξ)/g'(ξ)。",两个函数 | 柯西中值 | 导数之比,b)可导且g'不为零则存在ξ使[f(b)-f(a)]/[g(b)-g(a)]=f'(ξ)/g'(ξ),闭区间连续 | 开区间可导 | g'≠0 | 中值ξ,柯西定理 | 中值公式,[f(b)-f(a)]/[g(b)-g(a)]=f'(ξ)/g'(ξ),g'(x)=0的条件不验证 | ξ的范围判断错误 | 分母函数g使用不当
259,平面曲线的弧长,4,"利用定积分计算平面曲线的弧长。对曲线y=f(x)在[a,b]上的弧长公式为∫√(1+[f'(x)]²)dx，参数方程形式为∫√([x'(t)]²+[y'(t)]²)dt。",弧长公式 | 参数方程 | 微分元素,弧长 | 弧微分,L=∫ₐᵇ√(1+(y′)²)dx,参数方程弧长公式用错,不处理空间曲线的弧长,掌握微分和弧微分概念
273,y''=f(x,y')型的微分方程,"形如y''=f(x,y')的二阶微分方程，不显含未知函数y。可通过令p=y'将方程降阶为一阶微分方程p'=f(x,p)求解。",不显含y | 降阶法 | 令p=y',不显含y | 令p=y' | p'=y'' | 一阶方程求解 | 回代积分,不显含y | 降阶换元 | p=y' | y''=dp/dx,y''=f(x,y')令p=y'则p'=f(x,p)
274,y''=f(y,y')型的微分方程,"形如y''=f(y,y')的二阶微分方程，不显含自变量x。可通过令p=y'并将y视为自变量，利用链式法则将方程降阶求解。",不显含x | 降阶法 | 链式法则,不显含x | 令p=y' | 利用链式法则 | dp/dx=p·dp/dy | 一阶方程求解,不显含x | 链式法则 | p·dp/dy | 降阶法,y''=f(y,y')令p=y'则y''=p·dp/dy,误将y''直接写成dp/dx而未利用链式法则
295,8.5 隐函数的求导公式,3,"由方程F(x,y,z)=0确定的隐函数z=f(x,y)的偏导数求解公式。利用偏导数公式∂z/∂x=-F_x/F_z，∂z/∂y=-F_y/F_z计算。",隐函数求导 | 偏导数公式 | F_z≠0,y,z)=0确定的隐函数求导方法,一个方程隐函数 | 雅可比行列式 | 方程组隐函数 | 偏导数公式,隐函数 | 雅可比行列式 | 隐函数求导公式 | 存在条件,F(x
296,一个方程的情形,4,"由单个方程F(x,y,z)=0确定隐函数z=f(x,y)的情形。需要满足F(x₀,y₀,z₀)=0且F_z≠0的条件。",单个方程 | 隐函数存在条件 | 偏导数,y,z)=0确定一个隐函数的求导方法,一元隐函数 | 二元隐函数 | 求导公式 | 偏导数法,一元隐函数 | 二元隐函数 | dy/dx=-Fx/Fy | ∂z/∂x=-Fx/Fz,F(x
300,条件极值 拉格朗日乘数法,4,在附加条件限制下求函数极值的方法,条件极值 | 拉格朗日乘数法 | 辅助函数,拉格朗日乘数法 | 条件极值 | 约束条件 | 乘数λ,设F=f+λφ则F_x=0,F_y=0,不涉及条件极值 拉格朗日乘数法的具体实现细节和扩展应用,拉格朗日函数构造错误特别是约束条件符号写反
