node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
408,6 计算机的运算方法,2,"计算机的运算方法是研究计算机中数据的表示方法、运算规则及其实现技术，包括定点数和浮点数的算术逻辑运算。","数据表示（定点/浮点） | 运算规则（加减乘除） | 运算器实现（ALU） | 编码方式（原码/补码/反码/移码）","运算方法 | 定点运算 | 浮点运算 | 算术逻辑单元","[]","混淆定点与浮点运算的适用场景 | 忽略不同编码方式的运算差异 | 不理解补码运算的优势","不涉及具体指令集设计和CPU控制逻辑","需掌握二进制数制、逻辑代数基础和计算机系统概述"
409,6.1 无符号数和有符号数,3,"无符号数和有符号数是计算机中数值数据的两大分类，有符号数需要处理符号位和数值位的表示问题。","无符号数（全部位表示数值） | 有符号数（符号位+数值位） | 原码表示 | 补码表示 | 反码表示","无符号数 | 有符号数 | 原码 | 补码 | 反码","[原码范围：-(2^(n-1)-1)~+(2^(n-1)-1) | 补码范围：-2^(n-1)~+(2^(n-1)-1)]","混淆原码与补码的表示范围 | 忽略0在不同编码中的特殊性 | 符号位参与运算规则错误","不涉及浮点数表示和定点运算的实现细节","需掌握二进制编码基础和计算机数据表示概述"
410,无符号数,4,"无符号数是计算机中不使用符号位的数值表示方法，所有二进制位均用于表示数值大小，常用于地址和逻辑运算。","全部位为数值位 | 无符号位 | 表示范围：0~2^n-1 | 适用于地址和计数 | 运算规则简单","无符号数 | 数值位 | 表示范围","[n位无符号数范围：0~2^n-1]","将无符号数与有符号数混淆 | 无符号数运算溢出判断错误 | 忽略无符号数与有符号数的混合运算问题","不涉及有符号数的编码和定点/浮点运算","需理解二进制数制和位权概念"
411,有符号数,4,"有符号数是用符号位和数值位共同表示的带符号数值，符号位0表示正数1表示负数，有原码、补码、反码三种主要表示形式。","符号位（0正1负） | 原码（符号+数值） | 补码（正数同原码/负数取反加1） | 反码（正数同原码/负数符号位不变数值位取反） | 移码","原码 | 补码 | 反码 | 符号位 | 数值位","[正数补码=原码 | 负数补码=反码+1 | 补码真值=X(符号位为0)或X-2^n(符号位为1)]","混淆原码和补码的转换规则 | 0的补码表示错误（只有一种表示） | 忽略补码比原码多表示一个负数","不涉及浮点数表示和定点运算实现","需掌握无符号数表示和二进制编码基础"
412,6.2 数的定点表示和浮点表示,3,"定点表示和浮点表示是计算机中数值的两种基本表示形式，定点数小数点位置固定，浮点数小数点位置可变。","定点整数（小数点在最低位后） | 定点小数（小数点在符号位后） | 浮点数（阶码+尾数） | 表示范围与精度的权衡","定点表示 | 浮点表示 | 阶码 | 尾数 | 规格化","[浮点数N=M×r^E | M为尾数E为阶码r为基数]","定点数和浮点数的表示范围混淆 | 浮点数阶码和尾数的作用理解错误 | 忽略规格化要求","不涉及IEEE 754标准的具体格式和定点运算规则","需掌握有符号数的编码表示和计算机数据表示基础"
413,定点表示,4,"定点表示是将小数点固定在某个位置的数值表示方法，分为定点整数（小数点在末尾）和定点小数（小数点在符号位之后）两种形式。","定点整数 | 定点小数 | 小数点位置固定 | 表示范围受限 | 运算简单","定点整数 | 定点小数 | 小数点","[n+1位定点整数范围：-2^n~+(2^n-1) | n+1位定点小数范围：-(1-2^(-n))~+(1-2^(-n))]","混淆定点整数和定点小数的小数点位置 | 定点数溢出判断错误 | 忽略定点数的表示精度限制","不涉及浮点数表示和定点运算的实现","需理解有符号数的编码和数值表示基础"
414,浮点表示,4,"浮点表示是用阶码和尾数共同表示数值的方法，小数点位置随阶码变化而浮动，可表示很大范围的数值。","阶码E（表示范围） | 尾数M（表示精度） | 基数r（通常为2） | 规格化（尾数最高有效位为1） | 隐含表示","阶码 | 尾数 | 规格化 | 基数 | 浮点数","[N=M×r^E | 规格化：1/|r|≤|M|<1]","阶码和尾数的位数分配不当 | 未进行规格化处理 | 浮点数0的表示错误","不涉及IEEE 754标准的具体格式和定点表示","需掌握定点表示方法和计算机数据表示基础"
415,定点数和浮点数的比较,4,"定点数和浮点数在表示范围、精度、运算速度和硬件复杂度等方面存在显著差异，各有适用场景。","定点数：范围小/精度低/速度快/硬件简单 | 浮点数：范围大/精度高/速度慢/硬件复杂 | 动态范围 | 精度要求","定点数 | 浮点数 | 动态范围 | 精度","[]","仅从表示范围比较而忽略精度差异 | 忽略运算速度和硬件成本的权衡 | 混淆定点数和浮点数的适用场景","不涉及具体运算实现和硬件设计细节","需掌握定点数和浮点数的基本概念和表示方法"
416,举例,4,"通过具体数值示例演示定点数和浮点数的表示方法，加深对不同编码方式和表示形式的理解。","具体数值转换 | 原码/补码/反码实例 | 定点/浮点表示实例 | 规格化处理实例","数值转换 | 编码实例 | 表示实例","[]","数值转换过程中符号位处理错误 | 浮点数规格化步骤遗漏 | 不同编码间的转换规则混淆","不涉及运算规则和硬件实现","需掌握定点数和浮点数的表示方法"
417,IEEE 754标准,4,"IEEE 754是浮点数表示的国际标准，定义了单精度(32位)和双精度(64位)格式，采用隐含位技术提高表示效率。","符号位S(1位) | 阶码E(偏移码) | 尾数M(隐含1) | 单精度(1+8+23) | 双精度(1+11+52)","IEEE 754 | 单精度 | 双精度 | 偏移码 | 隐含位","[单精度：(-1)^S×1.M×2^(E-127) | 双精度：(-1)^S×1.M×2^(E-1023) | 偏移码：E=e+Bias]","偏移码计算错误 | 隐含的整数位1遗漏 | 特殊值（0/无穷/NaN）的表示混淆","不涉及浮点数运算规则和其他浮点标准","需掌握浮点表示的基本概念和规格化方法"
