node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
41,4.3.1 求子串位置的定位函数 Index(S,T,从主串S的第pos个字符起查找子串T首次出现的位置，若找到则返回位序号，否则返回0。朴素算法通过逐字符比较实现，最坏时间复杂度为O(n*m)。,4,"从主串S的第pos个字符起查找子串T首次出现的位置。朴素算法逐字符比较,最坏时间复杂度O(n*m)。",逐字符比较 | 回溯 | 位置定位 | 最坏复杂度,定位函数 Index | 朴素模式匹配 | 回溯(backtracking),不涉及KMP算法的优化;不涉及串的存储结构;不涉及多模式匹配,回溯时i和j的移动逻辑搞混;最坏情况分析错误;忽略pos参数的含义
79,7.1 图的定义和术语,3,图是由顶点集合V和边集合E组成的数据结构,顶点和边 | 有向图和无向图 | 完全图 | 权,E)|顶点|边|度|邻接|路径,图|顶点|边|邻接|路径,[],邻接矩阵与邻接表的混淆|有向图度的计算|完全图边数公式,图的基本操作|图的算法设计
80,7.2 图的存储结构,3,将图中顶点和边关系用计算机内存表示的方法,邻接矩阵 | 邻接表 | 十字链表 | 邻接多重表,数组表示法|邻接表|[],不同存储结构适用场景混淆|邻接矩阵空间复杂度计算,有向图与无向图的存储差异,不涉及具体存储结构的实现细节；不涉及图的遍历算法,
81,7.2.1 数组表示法,4,用二维数组表示图中顶点间邻接关系的方法即邻接矩阵法,二维数组 | 空间复杂度O(n²) | 适合稠密图,数组表示法|邻接矩阵|稠密图|[],矩阵元素含义混淆|对称矩阵优化存储,无向图邻接矩阵对称性,不涉及邻接表和十字链表等其他存储方式；不涉及图的遍历,
82,7.2.2 邻接表,4,对图中每个顶点建立单链表的存储方法适用于稀疏图,链表结构 | 空间复杂度O(n+e) | 适合稀疏图,邻接表|逆邻接表|[],邻接表与逆邻接表混淆|有向图边表方向,有向图邻接表与逆邻接表区别,图的存储结构和数组表示法,
83,7.2.3 十字链表,4,将有向图的邻接表和逆邻接表结合的存储方法同时记录出度和入度,有向图优化 | 弧链表 | 入度出度,十字链表|[],十字链表中指针方向混淆|弧结点各域含义,有向图的十字链表结构,不涉及7.2.3 十字链表的具体实现细节和扩展应用,
84,7.2.4 邻接多重表,4,无向图中每条边用一个结点表示的存储方法便于边操作,无向图优化 | 边链表 | 边节点,邻接多重表|[],邻接多重表与邻接表的区别|边结点中指针指向,无向图边操作的存储优化,不涉及7.2.4 邻接多重表的具体实现细节和扩展应用,
85,7.3 图的遍历,3,从图中某一顶点出发访问其余所有顶点且每个顶点仅访问一次的过程,深度优先和广度优先 | 访问标记 | 时间复杂度,DFS|BFS|visited数组|[],图遍历与树遍历混淆|visited数组忘记设置|非连通图遍历不完整,图的遍历算法设计,不涉及7.3 图的遍历的具体实现细节和扩展应用,
86,7.3.1 深度优先搜索,4,类似树的先序遍历沿分支深入探索再回溯的图遍历方法,递归栈 | 邻接顶点 | 回溯 | 访问标记,DFS|深度优先|栈|[],DFS递归深度过大|非连通图需多次调用|递归终止条件错误,深度优先搜索的非递归实现,不涉及7.3.1 深度优先搜索的具体实现细节和扩展应用,
87,7.3.2 广度优先搜索,4,类似树的层次遍历逐层扩展访问的图遍历方法,队列 | 邻接顶点 | 逐层访问,BFS|广度优先|队列|[],BFS与DFS序列混淆|队列操作错误|层次编号计算,广度优先搜索的应用,深度优先搜索和图的遍历,
