node_id,name,level,definition,core_elements,key_terms,formulas,common_mistakes,scope_boundary,prerequisites_desc
161,1.1 映射与函数,3,研究两个非空集合之间对应关系的数学工具，函数是特殊的映射,集合对应关系 | 单射满射双射 | 定义域值域 | 对应法则 | 函数三要素,映射 | 函数 | 定义域 | 值域 | 对应法则,f: A→B | y=f(x) | D(f) | R(f),混淆映射与函数的关系 | 忽略定义域的限制 | 对应法则理解不清,不涉及多元函数与向量值函数,已掌握集合论基本概念与实数运算
162,映射,4,设X和Y是两个非空集合，若对每个x∈X存在唯一y∈Y与之对应则称f为映射,单射(一一) | 满射(值域等于Y) | 双射(既是单射又是满射) | 映射的复合 | 逆映射,映射 | 单射 | 满射 | 双射 | 复合映射,f: X→Y | f∘g | f⁻¹,将映射与函数混为一谈 | 逆映射存在条件判断错误 | 复合映射顺序颠倒,不涉及抽象代数中的群同态等内容,需理解集合与对应关系的概念
163,函数,4,数集到数集的特殊映射，通常表示为y=f(x) x∈D,单调性 | 有界性 | 奇偶性 | 周期性 | 函数图像,函数 | 单调函数 | 有界函数 | 奇函数 | 偶函数 | 周期函数,y=f(x) | |f(x)|≤M | f(-x)=±f(x) | f(x+T)=f(x),忽略函数定义域 | 奇偶性判断不考虑定义域对称性 | 周期函数最小正周期不一定存在,不涉及多元函数与参数方程表示的函数,需掌握映射概念与实数性质
164,1.2 数列的极限,3,研究数列在项数无限增大时变化趋势的数学理论,极限思想 | ε-N定义 | 收敛与发散 | 极限唯一性,数列 | 极限 | 收敛 | 发散 | ε-N语言,lim(n→∞) xₙ=A | ∀ε>0 ∃N s.t. n>N→|xₙ-A|<ε,极限定义中ε与N的关系理解错误 | 混淆收敛与有界 | 发散数列误认为极限为∞,不涉及函数极限与多元极限,需掌握实数完备性与数列基本概念
165,数列极限的定义,4,∀ε>0存在正整数N使得当n>N时|xₙ-A|<ε则称A为数列极限,ε的任意性 | N的存在性与依赖性 | 不等式的方向 | 收敛的唯一性,极限定义 | 收敛数列 | ε-N语言,lim(n→∞) xₙ=A ⟺ ∀ε>0 ∃N∈ℕ⁺ s.t. n>N→|xₙ-A|<ε,用有限验证代替无限过程 | N的选取方法不当 | 忽略极限值的唯一性,不涉及极限的运算性质,需理解ε-N语言的逻辑结构
166,收敛数列的性质,4,收敛数列具有唯一性 | 有界性 | 保号性 | 四则运算封闭性等重要性质,极限唯一性 | 有界性 | 保号性 | 四则运算 | 子列收敛性,唯一性 | 有界性 | 保号性 | 运算法则,xₙ→A ⟹ xₙ有界 | xₙ→A>0 ⟹ ∃N n>N时xₙ>0,将有界误认为收敛 | 保号性条件使用不当 | 子列与原数列极限关系混淆,不涉及函数极限的性质；不涉及子列收敛性,需掌握数列极限定义
167,1.3 函数的极限,3,研究自变量趋于某点或无穷时函数值的变化趋势,x→x₀的极限 | x→∞的极限 | 左极限 | 右极限 | 极限存在条件,函数极限 | 左极限 | 右极限 | 双侧极限,lim(x→x₀)f(x)=A | lim(x→∞)f(x)=A | f(x₀⁻)=f(x₀⁺),左极限与右极限概念混淆 | 无穷远处极限与数列极限混淆 | 忽略函数在该点无定义不影响极限,不涉及多元函数的极限；不涉及左极限和右极限的详细讨论,需掌握数列极限与函数连续性基础
168,函数极限的定义,4,∀ε>0存在δ>0使得当0<|x-x₀|<δ时|f(x)-A|<ε则称极限存在,ε-δ定义 | δ的依赖性 | 去心邻域 | 双侧极限存在条件,ε-δ语言 | 去心邻域 | 左极限 | 右极限,lim(x→x₀)f(x)=A ⟺ ∀ε>0 ∃δ>0 s.t. 0<|x-x₀|<δ→|f(x)-A|<ε,δ的选取与x₀有关而非仅与ε有关 | 混淆函数极限与函数值 | 左右极限相等不保证极限存在,不涉及函数极限的运算,需理解ε-N语言并推广到实函数
169,函数极限的性质,4,函数极限具有唯一性 | 局部有界性 | 局部保号性 | 四则运算封闭性等性质,局部有界性 | 局部保号性 | 四则运算 | 复合运算,唯一性 | 有界性 | 保号性 | 运算法则 | 复合函数极限,lim(x→x₀)f(x)=A ⟹ f在x₀某去心邻域有界 | lim(x→x₀)f(x)=A>0 ⟹ 去心邻域内f(x)>0,局部性质与整体性质混淆 | 复合函数极限条件使用不当 | 保号性只在去心邻域成立,不涉及更一般的极限性质,需掌握函数极限定义
170,1.4 无穷小与无穷大,3,无穷小是极限为零的量，无穷大是绝对值无限增大的量,无穷小的等价性 | 无穷小与极限关系 | 无穷大与无穷小倒数关系 | 有限个无穷小之和仍为无穷小,无穷小 | 无穷大 | 高阶无穷小 | 同阶无穷小 | 等价无穷小,lim f(x)=0(无穷小) | lim f(x)=∞(无穷大) | f(x)~g(x)(等价),混淆无穷小与很小的数 | 无穷大与很大数混同 | 无穷小阶的比较方法错误 | 0·∞型未定式误判,不涉及多元函数中的无穷小,需掌握极限定义与运算法则
